#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_r                4084.8752275747784    All      -0.62475012088541         0.4677509718078454        -0.9173598053175137       0.3149259932784222         
Zeropoint     AB|PS|PS_i                4947.668589394346     All      1.05222595188351          0.3348174555656058        1.224650006333332         -0.1790330441205986        
Zeropoint     AB|PS|PS_g                3216.609126011227     All      -0.4584075958369297       0.07738916440906962       0.1402683044973202        0.18078616220264893        
Zeropoint     AB|PS|PS_z                5686.078474118992     All      1.0174945734616718        0.11901383625652073       -0.44258646381236344      -0.3124153363998192        
Check         All|All|All               All                   All      0.9865628086228421        0.9989714280390416        0.004972041700775143      0.004263774960653333       
Lambda        AB|PS|PS_r                4084.8752275747784    All      -0.0004028357783012797    0.00024114363948360377    -0.0008783214110714026    0.0001705698320743001      
Lambda        AB|PS|PS_i                4947.668589394346     All      -0.00013052855934217      -5.424672523597539e-05    -0.0006361395413119218    -3.540483079328562e-06     
Lambda        AB|PS|PS_g                3216.609126011227     All      -0.0011943388120979697    0.00018712376210838826    0.00017144280302425135    0.00045763851407839754     
Lambda        AB|PS|PS_z                5686.078474118992     All      0.0001630957281933868     3.3373232646004445e-05    0.0005006586477250654     -1.9912788537149326e-05    
MWEBV         All|All|All               All                   All      -0.4151407346209044       -2.279719049764495        0.14501525321262354       -0.6008831353268602        
Redshift      All|All|All               All                   All      5.662503682593532         0.35978733561048415       3.049220290647652         -1.5911964713890292        
