#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_z            7226.0304154050145    All      0.05581266694523817        0.0025042917787487795      0.04749510529282741       -0.015244803173085353     
Zeropoint     AB|SDSS|SDSS_r            5011.918876864691     All      1.1343791221436033         0.45524902268549994        1.4973898871131208        -0.1543933827112723       
Zeropoint     AB|SDSS|SDSS_i            6077.827632403277     All      1.0865329086534952         0.052355694417549614       -0.8481451638200577       -0.3747143653678481       
Zeropoint     AB|SDSS|SDSS_g            3835.5512543337436    All      -1.2786328987268005        0.48862439455508166        -0.6930685382907642       0.544725375744641         
Check         All|All|All               All                   All      0.998091799015536          0.99873340343688           0.0036712902951263615     0.00037282449243525306    
Lambda        AB|SDSS|SDSS_z            7226.0304154050145    All      -2.2155699060397636e-05    -1.7451751017002585e-07    1.1379376513707013e-05    7.667803300522956e-06     
Lambda        AB|SDSS|SDSS_r            5011.918876864691     All      -0.00019109484301477626    -0.00012571755746699841    -0.0008667582059269603    -1.73839051023504e-05     
Lambda        AB|SDSS|SDSS_i            6077.827632403277     All      -0.00025733155706252086    -1.3522097709632859e-05    -0.000292885042251273     6.634664774086762e-05     
Lambda        AB|SDSS|SDSS_g            3835.5512543337436    All      -0.0016479451668194541     0.00042792394864543123     -0.0031549387671356557    0.0005353884379046582     
MWEBV         All|All|All               All                   All      -0.5631481135784404        -3.0934307745431155        0.14516760050484745       -0.8177181432232935       
Redshift      All|All|All               All                   All      5.984872396012696          1.1962342081849542         2.500268217426549         -1.4482415120652459       
