#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_z            7226.0304154050145    All      0.06695760091871371        0.0015165529589467042     0.03142746522736618        -0.01991383883505467       
Zeropoint     AB|SDSS|SDSS_r            5011.918876864691     All      1.154976064903531          0.5013956213669957        2.4250406796130073         -0.10467422489561994       
Zeropoint     AB|SDSS|SDSS_i            6077.827632403277     All      1.0189932876565044         0.021568745697564395      -1.2448160891562534        -0.380444412434315         
Zeropoint     AB|SDSS|SDSS_g            3835.5512543337436    All      -1.242282509887032         0.4737825465806367        -1.2076105947478437        0.5050887312661936         
Check         All|All|All               All                   All      0.998644443591717          0.9982634666041434        0.004041460936276442       5.6255101203994684e-05     
Lambda        AB|SDSS|SDSS_z            7226.0304154050145    All      -2.3756880950439707e-05    -3.66779049996393e-07     -1.0914161853799068e-05    7.131876783867375e-06      
Lambda        AB|SDSS|SDSS_r            5011.918876864691     All      -0.0001405999190990496     -6.903203750336051e-05    -0.000691280284930411      -7.5366506318492585e-06    
Lambda        AB|SDSS|SDSS_i            6077.827632403277     All      -0.00024155315011647034    -5.977260861590185e-06    0.00018554104425315992     8.501466199269156e-05      
Lambda        AB|SDSS|SDSS_g            3835.5512543337436    All      -0.0017119435425363059     0.0004653324264735569     -0.003876858233009693      0.0005362040361848648      
MWEBV         All|All|All               All                   All      -0.5498317275068967        -3.09796404336673         0.1911267581893059         -0.8214814169341689        
Redshift      All|All|All               All                   All      5.667250781364361          0.8226667539222632        3.0069020492388727         -1.4438561715623364        
