#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_r            4845.1807392989285    All      1.4969144281893767         0.49727335019316143        5.646430406112988          -0.0736417304100116       
Zeropoint     AB|SDSS|SDSS_g            3707.9488951579488    All      -1.3466942480139403        0.3972607349444601         -2.3018233902449716        0.4653437063501105        
Zeropoint     AB|SDSS|SDSS_i            5875.62849774637      All      0.6433883052130333         0.07110654059943045        -4.5839837053728045        -0.39097313754061147      
Zeropoint     AB|SDSS|SDSS_z            6985.632499345385     All      0.19074562677804344        0.030841426664629523       1.114029995535987          -0.002372016522795994     
Check         All|All|All               All                   All      0.984354112166513          0.9964820524016815         -0.12534669396880105       -0.0016431781233085412    
Lambda        AB|SDSS|SDSS_r            4845.1807392989285    All      -0.00019218847830368728    -5.8218947916610254e-05    -0.0009534257996424563     1.0912690019740971e-06    
Lambda        AB|SDSS|SDSS_g            3707.9488951579488    All      -0.002177581826706713      0.0005020559489577225      -0.006799181018982727      0.000569429959629903      
Lambda        AB|SDSS|SDSS_i            5875.62849774637      All      -7.474086599978995e-05     -9.644502773556416e-06     0.0004554727374265444      4.152968347025086e-05     
Lambda        AB|SDSS|SDSS_z            6985.632499345385     All      -8.034622242503676e-05     -1.307606677388643e-05     -0.00046426961352781054    1.1938822794268007e-06    
MWEBV         All|All|All               All                   All      -0.5719112153530377        -2.937070110522555         0.1991906426629249         -0.7615211000406178       
Redshift      All|All|All               All                   All      5.913205183743607          -0.2397365838779919        23.755939492683158         -0.9440970870110768       
