#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_r            4845.1807392989285    All      1.1695452613905877        0.41621302767556045        3.48186031429871           -0.09000565819417064      
Zeropoint     AB|SDSS|SDSS_g            3707.9488951579488    All      -1.430210345116764        0.4384210444230874         -1.869866555041827         0.5252311633547626        
Zeropoint     AB|SDSS|SDSS_i            5875.62849774637      All      1.085761367232378         0.1194054333948813         -2.4824675312669795        -0.42555504417624535      
Zeropoint     AB|SDSS|SDSS_z            6985.632499345385     All      0.1644343850569574        0.02372630443971957        0.8077542657858483         -0.009786888014520073     
Check         All|All|All               All                   All      0.9895306685631591        0.9977658099332487         -0.06271950622424827       -0.0001164270301734216    
Lambda        AB|SDSS|SDSS_r            4845.1807392989285    All      -7.35501136648433e-05     -7.862071122643043e-05     -0.0012395661058246866     -5.696780262526684e-05    
Lambda        AB|SDSS|SDSS_g            3707.9488951579488    All      -0.002358189744660979     0.0005259990092021896      -0.0060186395086608705     0.0006708909254647        
Lambda        AB|SDSS|SDSS_i            5875.62849774637      All      -0.0002724507793102277    -2.9613228996281463e-05    -0.0008255652009210193     4.22589960220738e-05      
Lambda        AB|SDSS|SDSS_z            6985.632499345385     All      -7.076769971750901e-05    -1.0321087842873273e-05    -0.00034072157486920464    4.484611113210002e-06     
MWEBV         All|All|All               All                   All      -0.5738890042736773       -2.9431393206918344        0.060990308945504945       -0.7690210567076948       
Redshift      All|All|All               All                   All      10.031371971549284        0.4689506619474315         56.290730370634186         -0.6027984523859837       
