#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_g            3718.1876217801173    All      -1.1795878401536037        0.40487638434054674        -0.7856061834242651       0.481054129434862         
Zeropoint     AB|SDSS|SDSS_r            4858.559694194843     All      0.994750780080007          0.4824526268224716         1.4886344588956208        -0.10044144377486493      
Zeropoint     AB|SDSS|SDSS_i            5891.852818960831     All      1.0759258807876133         0.10012748483827494        -0.8901745488035122       -0.3575740420636546       
Zeropoint     AB|SDSS|SDSS_z            7004.921864831823     All      0.10646489592071769        0.011390627573604206       0.19212643258382692       -0.022395096769748924     
Check         All|All|All               All                   All      0.9975537166347342         0.9988471235748975         0.0049801592516704185     0.0006435468265935211     
Lambda        AB|SDSS|SDSS_g            3718.1876217801173    All      -0.0019718504033716154     0.0005017485452729734      -0.00340942131500097      0.0006535857421789759     
Lambda        AB|SDSS|SDSS_r            4858.559694194843     All      -0.0001532332188597062     -7.50462351741309e-05      -0.0009471683752982687    -1.679970154081026e-05    
Lambda        AB|SDSS|SDSS_i            5891.852818960831     All      -0.00016060802710903934    -1.0560416987348343e-05    0.00019592803614881254    5.761881142478121e-05     
Lambda        AB|SDSS|SDSS_z            7004.921864831823     All      -4.8377173296886045e-05    -4.784706655147054e-06     -8.215596100535226e-05    1.053325732378037e-05     
MWEBV         All|All|All               All                   All      -0.5571488437834282        -2.9502440875127434        0.16153730204164748       -0.7723011835015016       
Redshift      All|All|All               All                   All      4.563656268239278          -0.3337620558818699        5.321112259854237         -1.3577934672707224       
