#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_g            3718.1876217801173    All      -1.1778586231300485        0.39730473152701506        -0.4946950318495791       0.49100655872758026       
Zeropoint     AB|SDSS|SDSS_r            4858.559694194843     All      1.0867743293899896         0.457950487282055          0.9177640219774297        -0.16387301990131165      
Zeropoint     AB|SDSS|SDSS_i            5891.852818960831     All      1.024376048109887          0.13629930135667934        -0.5059001313373113       -0.3118518126209835       
Zeropoint     AB|SDSS|SDSS_z            7004.921864831823     All      0.0648165982128945         0.007080859299080089       0.0784614653992266        -0.015305054773329108     
Check         All|All|All               All                   All      0.9981083525827225         0.9986353794648295         -0.004369675810234064     -2.332856804398986e-05    
Lambda        AB|SDSS|SDSS_g            3718.1876217801173    All      -0.0017074111607295634     0.0003408886212911277      -0.003534989238313559     0.0005094482919777634     
Lambda        AB|SDSS|SDSS_r            4858.559694194843     All      -0.00022121109602924363    -0.00011725476538452252    -0.0007177672289771232    1.8313421090733625e-06    
Lambda        AB|SDSS|SDSS_i            5891.852818960831     All      -0.00022648485652060156    -2.0470582302997618e-05    0.00011827372281485159    7.23836398186445e-05      
Lambda        AB|SDSS|SDSS_z            7004.921864831823     All      -5.222017361857577e-05     -6.909242973297923e-06     -8.951385057744118e-05    1.0764668767481566e-05    
MWEBV         All|All|All               All                   All      -0.5888148402169193        -2.937118747759726         0.19599092916644523       -0.7561736645755712       
Redshift      All|All|All               All                   All      4.692748822613491          0.07761828451631203        6.599955811356684         -1.2087741341828384       
