#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|DECam|DECam_g          3702.620244376022    All      -0.7230934308861687        0.40396281070975704        -0.013202239906295876     0.3665301416054603         
Zeropoint     AB|DECam|DECam_z          7005.887620729348    All      0.6867718998144099         0.05940592929221111        0.8098958117865096        -0.1682118059633378        
Zeropoint     AB|DECam|DECam_i          5978.470051811289    All      0.7939329893383866         0.0894765356784788         -0.03794276507701477      -0.23115785422653384       
Zeropoint     AB|DECam|DECam_r          4921.057369285628    All      0.23885107137175388        0.4451062558366914         -0.7584468515998644       0.03333809960773815        
Check         All|All|All               All                  All      0.9964625296383818         0.9979515315171383         0.0003039552033345938     0.0004985810233268384      
Lambda        AB|DECam|DECam_g          3702.620244376022    All      -0.0011211130198095008     0.00047257129925464404     -0.0013687909063258299    0.00045803256185586525     
Lambda        AB|DECam|DECam_z          7005.887620729348    All      -0.00039798206942545775    -3.196508960685108e-05     -0.0004382358439727139    9.966731895581266e-05      
Lambda        AB|DECam|DECam_i          5978.470051811289    All      -7.440516175151888e-05     -2.1894512262545788e-05    5.3563703393933724e-05    1.9494748160893162e-05     
Lambda        AB|DECam|DECam_r          4921.057369285628    All      -0.00021867122999038235    -7.517019417813694e-05     -0.0017285213847016978    -3.0392962179767813e-05    
MWEBV         All|All|All               All                  All      -0.4784590866505165        -2.8194910820456442        0.218917833710508         -0.752781841099931         
Redshift      All|All|All               All                  All      6.131865862105043          0.23515809164873502        3.1142654071382223        -1.781776354944095         
