#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_z                8493.328249732254    All      0.3564305703516441         -0.10327772475440256       -0.012495784419686544      -0.15029974513731068       
Zeropoint     AB|PS|PS_g                4804.667625085967    All      -1.0964439225821263        1.250830242787071          -0.03998125864022817       0.7628002387412007         
Zeropoint     AB|PS|PS_i                7390.361141142517    All      0.6111251647973406         -0.09532069029862811       0.48417217054597594        -0.2085062761339316        
Zeropoint     AB|PS|PS_r                6101.601714592569    All      1.1278897662296732         -0.05274141937512411       -0.4270041266673118        -0.40362565177792153       
Check         All|All|All               All                  All      0.9990015787965315         0.9994904083589162         0.004691000818749402       0.00036856569203691514     
Lambda        AB|PS|PS_z                8493.328249732254    All      0.00044635416507113123     -0.00012326143318089485    7.519459469149676e-05      -0.00018218695074244008    
Lambda        AB|PS|PS_g                4804.667625085967    All      -0.00035024265208129105    -1.2285722273604426e-05    -0.0018170261120642        2.8998160408759357e-05     
Lambda        AB|PS|PS_i                7390.361141142517    All      -0.00013759971631105712    -1.8418908542067885e-05    -0.0004670663937851155     1.797808202619818e-05      
Lambda        AB|PS|PS_r                6101.601714592569    All      -0.0001436220988341127     -3.921668792573411e-05     -0.00044214658561883227    1.427730575850116e-05      
MWEBV         All|All|All               All                  All      -0.6901144075627168        -4.078120537969987         0.05688915751024335        -1.1010463569473508        
Redshift      All|All|All               All                  All      4.943320708391             1.633901013294281          9.632616150897013          -0.6481274535582503        
