#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_B             4297.9999814656985    All      -0.08943970582944921       0.03899039327430742        -0.15445735387262793       0.03494118619648424        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i              7394.282003108601     All      0.1899352046326658         -0.022959390802856916      0.0952023351730169         -0.06509833078723759       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_I             7996.677985249133     All      0.05477293406814276        -0.005621864096472251      0.030627813572192686       -0.018305794040789775      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_R             6191.982559834329     All      0.1201995268418553         0.0003006773472868929      0.007657608925981663       -0.03871327591912343       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g              4672.038405763083     All      -0.2056285683314928        0.3017653529215458         0.301338683753527          0.1787222543737042         
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844      5224.494530011019     All      0.22800420377859315        0.13471365322095252        -0.01147280424567132       -0.03089978004537381       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r              6047.734936472703     All      0.5219751463771978         -0.017839378926076677      -0.030941690810326605      -0.17721613581247203       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_V             5237.034518399244     All      0.061218219955859396       0.03504794798816491        0.05865139300160749        -0.005907176262695199      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6095.858128307853     All      0.34175906125989053        -0.0033174584106454574     -0.05302192769707226       -0.11476890024919705       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_R             6190.7833207905105    All      0.12195395433241914        -0.0029381222689472963     0.03365092780944767        -0.03917977182132642       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4263.617504260903     All      -0.19898921915793166       0.13645086836122644        -0.06540601765758769       0.10634510198699303        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7421.648472687216     All      0.14774574541827834        -0.015175917982990228      0.07458333860874689        -0.04974063388008803       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B              4276.832083830141     All      -0.2884570123907745        0.18631406258373673        -0.05643393622565274       0.15213017124156247        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_V             5233.990715420078     All      0.03624611326638229        0.03048411807355933        -0.11907433000359902       -0.007190611857757663      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u              3495.1303985684717    All      -0.14111785640041305       0.060349417348248835       -0.0004039544274636597     0.06560649250556982        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5278.257687005181     All      0.11865586996343022        0.0812954097288987         -0.1890003181112876        -0.02060374717126317       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_I             7670.521204777582     All      0.05923425970081222        -0.006612384055149079      0.04527289970184256        -0.019428096578765104      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_B             4330.247981154799     All      -0.08201695549435223       0.0660933643996664         0.03846292756199965        0.04996082767752853        
Check         All|All|All                                All                   All      0.9960509219911133         0.9973407487044561         0.005235595057073716       0.000653779555753034       
Lambda        Linear_AB11_off|LOSS|LOSS_N1_B             4297.9999814656985    All      -6.987628753926562e-05     1.7093177229949938e-05     -0.00018783331365647405    1.9946677784455577e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_i              7394.282003108601     All      -2.4223849438397037e-05    -6.299119406031658e-06     -0.00013404748530373845    -1.4324933363087528e-07    
Lambda        Linear_AB11_off|LOSS|LOSS_N1_I             7996.677985249133     All      -3.084046745416446e-06     8.24419840530991e-08       -4.073707596952515e-06     8.496386933834041e-07      
Lambda        Linear_AB11_off|LOSS|LOSS_N1_R             6191.982559834329     All      -1.792229764952028e-05     1.7351766499598298e-07     -1.3111387727890445e-06    5.8358922809915845e-06     
Lambda        Linear_AB11_off|SWOPE|SWOPE_g              4672.038405763083     All      -7.446794803175734e-05     -3.706695464770326e-05     -0.0004979095468858046     -1.0036682260358682e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844      5224.494530011019     All      7.3615415307728196e-06     1.828302802040727e-05      -0.000731745900090456      -2.9096971277771346e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_r              6047.734936472703     All      -4.603579833739526e-05     -3.322798828159073e-06     -0.0001424091881281175     7.557961151688629e-06      
Lambda        Linear_AB11_off|LOSS|LOSS_K4_V             5237.034518399244     All      2.5238545991088405e-05     9.711082598686977e-06      2.7523151835577088e-05     -3.829573808119664e-06     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6095.858128307853     All      -3.8100166682337865e-05    -1.077180168995084e-06     -4.398230819214042e-05     1.0096876316293011e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_R             6190.7833207905105    All      -2.8493531053338616e-05    -4.0012060740164846e-08    -1.59480351508826e-05      8.55655966675164e-06       
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4263.617504260903     All      -8.314440166389639e-05     3.502338348218961e-05      -0.00011450647240759948    3.3381237272392466e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7421.648472687216     All      -4.119698569467945e-05     1.960467286815312e-06      -4.3583859209608144e-05    1.2112854811002754e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_B              4276.832083830141     All      -0.00021194453111998031    5.720990297224539e-05      -0.0004875513068216583     6.591527852040994e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_N1_V             5233.990715420078     All      3.306485737403596e-05      1.1720573862369126e-05     -2.6672526977037536e-05    -8.142807722319536e-06     
Lambda        Linear_AB11_off|SWOPE|SWOPE_u              3495.1303985684717    All      -0.00018901662012101172    7.735133355085154e-05      2.0515510193217066e-05     8.768031875190034e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5278.257687005181     All      2.6334936468969006e-05     6.247730625020993e-06      -0.00023873498562588998    -1.7196709731170992e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K4_I             7670.521204777582     All      -1.5489181973678148e-05    1.7995421895787468e-06     -1.1684695212459455e-05    5.110071960635163e-06      
Lambda        Linear_AB11_off|LOSS|LOSS_K4_B             4330.247981154799     All      -1.4116654691001507e-05    1.5389797417555e-05        1.3372711533803169e-05     1.0207984882308646e-05     
MWEBV         All|All|All                                All                   All      -0.9352947352027887        -3.913709614756744         0.05173490714791562        -0.9678590219135802        
Redshift      All|All|All                                All                   All      5.729752025507035          0.31904589090565594        8.886894849945604          -1.3658636938628117        
