#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     VEGAHST|ACSWF|F775W                    5006.968904351879    All      -0.1466439371637331        0.08295040403467624        -1.8299157019438628       -0.006874302921140024     
Zeropoint     VEGAHST|ACSWF|F625W                    4114.28173998029     All      -0.7135933932914187        0.01858855843401841        -0.8687251263652884       0.19972853726820602       
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5166.004999722804    All      0.3495508160112039         0.3116456505608767         1.1767908906365587        0.04016781321396785       
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4313.988087056697    All      -0.4013521432258401        0.7040411726400464         1.5342898790757342        0.42853127990203976       
Zeropoint     VEGAHST|ACSWF|F850LP                   5881.021194908349    All      1.906997315797189          -0.12120537255846386       -0.005834448316477392     -0.6609127061156386       
Check         All|All|All                            All                  All      0.9949586581274014         0.9960204131111539         0.00660549308666436       0.0006406213474350331     
Lambda        VEGAHST|ACSWF|F775W                    5006.968904351879    All      -0.0005498096130642062     4.4627968092707085e-05     -0.0030053679563920134    5.9512107860328174e-05    
Lambda        VEGAHST|ACSWF|F625W                    4114.28173998029     All      -0.0006504012235052409     -1.7099319016428033e-06    -0.0007555042658439619    0.00017758540950585516    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5166.004999722804    All      0.00019136636172601448     8.992599027195102e-05      0.0006274839558518178     -5.040739251584499e-06    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4313.988087056697    All      -3.7293350835507574e-05    0.00011070419611330754     0.0003532655047649634     6.397228700378343e-05     
Lambda        VEGAHST|ACSWF|F850LP                   5881.021194908349    All      -0.0002271054230629529     -2.2405323295765223e-05    -0.0003119103832827294    5.275842907408917e-05     
MWEBV         All|All|All                            All                  All      -0.17545201227971896       -2.288453129525081         0.0022422875164629374     -0.6881739165653441       
Redshift      All|All|All                            All                  All      7.758867290771452          0.5318928554093105         12.296597682155586        -1.8053226556699757       
