#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     VEGAHST|ACSWF|F775W                    5006.968904351879    All      -0.0627431471256496        0.05390375278384596       -1.2008992510609364       -0.015594885174544867     
Zeropoint     VEGAHST|ACSWF|F625W                    4114.28173998029     All      -0.718342823747802         0.04076941354682617       -0.7653928403861893       0.2131118625933942        
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5166.004999722804    All      0.2578846173194337         0.3015660833337819        0.8462125587608017        0.051991070542207835      
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4313.988087056697    All      -0.573269200775715         0.7460210942880963        1.017836986738391         0.4751576424257234        
Zeropoint     VEGAHST|ACSWF|F850LP                   5881.021194908349    All      2.089515190239388          -0.14276207948960007      0.08953097276884443       -0.7231307903777383       
Check         All|All|All                            All                  All      0.9930446359096555         0.9994982644629502        -0.012711573179088595     0.0015349000090422171     
Lambda        VEGAHST|ACSWF|F775W                    5006.968904351879    All      -0.0002502583591865165     7.673696405698831e-05     -0.0024283404431576045    -1.852546406868744e-06    
Lambda        VEGAHST|ACSWF|F625W                    4114.28173998029     All      -0.0007325971733412487     4.155826563890427e-05     -0.0007908494323661416    0.00021687591750683765    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5166.004999722804    All      0.00011846777258617497     9.364925253167233e-05     0.0004023141301731331     9.86922338085231e-06      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4313.988087056697    All      -0.00010045336046985307    0.00012608680629707763    0.00027373166208175274    8.600697214075923e-05     
Lambda        VEGAHST|ACSWF|F850LP                   5881.021194908349    All      -0.00032981877750978047    1.0151989393673352e-05    -0.000191431858018624     0.00010219693887781834    
MWEBV         All|All|All                            All                  All      -0.17703258797012555       -2.2894980155552247       -0.006860278886446953     -0.6884056305513168       
Redshift      All|All|All                            All                  All      8.095799079061162          -0.44914829766398157      12.52550998500227         -2.224414497973887        
