#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                    
Zeropoint     AB|MEGACAMPSF|i           6078.991888084632     All      1.3851792759319073         -0.10041802903160146      -0.622810501086247         -0.5117010891245357      
Zeropoint     AB|MEGACAMPSF|g           3881.4278687716005    All      -0.699380739251232         0.3889776234849762        -0.26394474672491963       0.34273548287781574      
Zeropoint     AB|MEGACAMPSF|r           4967.155018649842     All      -0.11010717826753957       0.7413973259737361        0.6325477960869393         0.30559073364989786      
Zeropoint     AB|MEGACAMPSF|z           7006.025746228453     All      0.4177174901999665         -0.030196391758252616     0.2521359070191703         -0.13464861977087714     
Check         All|All|All               All                   All      0.9934088486131021         0.9997605286688582        -0.0020715447050569935     0.0019765076323007558    
Lambda        AB|MEGACAMPSF|i           6078.991888084632     All      -0.00016150427075866015    -4.385080439954341e-05    -0.00038451933534531233    2.116427277420487e-05    
Lambda        AB|MEGACAMPSF|g           3881.4278687716005    All      -0.0008390954315922931     0.0004461600890557301     -0.000381649211152599      0.0004016187552834258    
Lambda        AB|MEGACAMPSF|r           4967.155018649842     All      -0.00011663748401827478    1.9233006487330984e-05    -0.0008253040969548255     7.427957401561783e-06    
Lambda        AB|MEGACAMPSF|z           7006.025746228453     All      -0.00018116171981857096    8.984750687945163e-06     -0.00014938126331982411    5.527076137840397e-05    
MWEBV         All|All|All               All                   All      -0.49046255726130417       -3.0100700862618623       0.02050580554822066        -0.8198039848991701      
Redshift      All|All|All               All                   All      6.123010244295836          -1.1202834447889387       -2.1004759792261276        -2.4531136476347735      
