#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|MEGACAMPSF|i           6078.991888084632     All      1.3171639637121038         -0.12198982720406093      -0.7623996280784695        -0.5028021302810798       
Zeropoint     AB|MEGACAMPSF|g           3881.4278687716005    All      -0.7362489876909397        0.3868637975790179        -0.33231718251716114       0.35100499389742884       
Zeropoint     AB|MEGACAMPSF|r           4967.155018649842     All      -0.0363968421375197        0.7734258977139419        0.8594576680151178         0.3021395571236263        
Zeropoint     AB|MEGACAMPSF|z           7006.025746228453     All      0.45071016223028826        -0.03989879143020403      0.22980350660184445        -0.14955240171206502      
Check         All|All|All               All                   All      0.9952282961139326         0.9984010766586948        -0.005455635978668383      0.0007900190279103159     
Lambda        AB|MEGACAMPSF|i           6078.991888084632     All      -0.00035356493558099777    -7.694152866132139e-05    -0.0007739464681868907     5.5567668005886776e-05    
Lambda        AB|MEGACAMPSF|g           3881.4278687716005    All      -0.0007809115082948191     0.0003438193116619577     -0.0005679864154527243     0.00034101520555040836    
Lambda        AB|MEGACAMPSF|r           4967.155018649842     All      -0.00018801908505629942    -4.231115994750254e-05    -0.0012444740461067057     -8.073296158899617e-06    
Lambda        AB|MEGACAMPSF|z           7006.025746228453     All      -0.0002036641031102018     6.488039747176693e-06     -0.00019866799967593375    5.95878263523699e-05      
MWEBV         All|All|All               All                   All      -0.4879882841085079        -3.0093791575342976       0.02120042151196877        -0.8203538813285505       
Redshift      All|All|All               All                   All      6.592896219510453          -0.8083201768078752       -1.3013430940672865        -2.4688926385034353       
