#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                  dmB/dP                   ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5427.116510064913    All      0.9988162317580759      1.0002644934410831       -0.0016933517148376431    0.00039617996679952583    
Check         All|All|All                           All                  All      0.9988162317580759      1.0002644934410831       -0.0016933517148376431    0.00039617996679952583    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5427.116510064913    All      0.021217705519917876    -0.009561583674522228    5.7025862581906487e-05    -0.010023282296829441     
MWEBV         All|All|All                           All                  All      -1.0231357852556249     -4.013302729471224       -0.007460199306279225     -0.9743286617330815       
Redshift      All|All|All                           All                  All      -79.34082664659915      33.864264426255716       -7.374958890763611        36.54551195596751         
