#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                  dmB/dP                   ds/dP                     dc/dP                    
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5427.116510064913    All      0.9966162585567234      1.0014760090935937       -0.0004734199012680215    0.0015618540750477377    
Check         All|All|All                           All                  All      0.9966162585567234      1.0014760090935937       -0.0004734199012680215    0.0015618540750477377    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5427.116510064913    All      0.020625862004159244    -0.009276655738434779    6.783628655046403e-05     -0.009737206570467952    
MWEBV         All|All|All                           All                  All      -1.0868769705017542     -3.984774659948709       -0.014930058758254731     -0.9446068754061353      
Redshift      All|All|All                           All                  All      -84.00536761169533      37.100848698178176       -8.032065530676405        39.08984473360614        
