#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    4722.505458597993     All      3.817085947553177         0.6967584692089801         0.539886728712119         -0.9923006503291976       
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    3943.6338699914386    All      -2.8254056449021987       0.30516215866267515        -0.5353152951645013       0.9958402632336605        
Check         All|All|All                            All                   All      0.9916803026509777        1.0019206278716553         0.004571433547617687      0.0035396129044629188     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    4722.505458597993     All      -0.0008568051420126965    -0.00018778971672873146    -0.0009472114379892193    0.00017565063787603974    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    3943.6338699914386    All      -0.0010754323359364682    3.987704416212775e-05      -0.0015857841522220948    0.0002925266942163417     
MWEBV         All|All|All                            All                   All      -0.12093234834133915      -1.967315453436136         0.04048107049435812       -0.5996212372759185       
Redshift      All|All|All                            All                   All      2.9038400114550007        0.1766764383654973         -2.142791673061395        -0.9839498476543695       
