#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    4722.505458597993     All      3.896718439553075         0.645647679887773         0.4380905475453152        -1.0394307344142          
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    3943.6338699914386    All      -2.9040301758561227       0.35631922657106685       -0.43467056171283736      1.0426057118803032        
Check         All|All|All                            All                   All      0.9926882636969526        1.00196690645884          0.003419985832477823      0.0031749774661031793     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    4722.505458597993     All      -0.0003436041221214789    -7.99124896394334e-05     -0.0006954102923033314    5.4860072454882426e-05    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    3943.6338699914386    All      -0.0017592474331605563    0.00011202385102648921    -0.001686924878933894     0.0005342549106752775     
MWEBV         All|All|All                            All                   All      -0.1066864848595861       -1.9681741500894745       0.04211900991753529       -0.6044681957235134       
Redshift      All|All|All                            All                   All      2.9781292154816903        -0.12418560926672484      -1.0721493546266143       -1.0583711030398246       
