#Format:      
#Parameter    MagSys|Instrument|Band                           RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_I                   7832.889456942997    All      0.30901570332933087        -0.06572335537082807      0.1276541887961649         -0.1163682198159884        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4336.016007409195    All      -0.13724826369762877       0.07007320576111198       -0.17235394414043378       0.05984005834250857        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7763.477342785312    All      0.1099630419791993         -0.020360508844241565     0.06690465617266941        -0.03946502049764989       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5323.656134191942    All      0.019099911597154167       0.06464191447737022       -0.28790090975471405       0.0019868333041759695      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_B                   4343.823391821326    All      -0.8867232672086577        0.6859101586008443        0.21938386683660357        0.5220485392723507         
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6471.246860765987    All      0.32500657167930597        -0.044162155443849826     0.0006280654165199826      -0.12022237203944384       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_R                   6318.746806817312    All      0.9857633675232774         -0.10579943204378495      0.10459154837546397        -0.3508904747360338        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_V                   5326.309995403956    All      0.27215521851404917        0.4129636825474847        -0.05762669846532274       0.043294334313904344       
Check         All|All|All                                      All                  All      0.9970322837160304         0.9975435096841068        0.001280773236951277       0.00022367814382368706     
Lambda        Linear_AB11_off|LOSS|LOSS_K2_I                   7832.889456942997    All      -4.46669842558749e-06      6.481520473971248e-06     5.411493221688885e-05      5.9810959652353454e-06     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4336.016007409195    All      -8.539765202815287e-05     4.396972344292624e-05     -0.00010701730945865543    3.7363519242750265e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7763.477342785312    All      -1.1722419191247488e-05    2.115804441873463e-06     -7.75903606080492e-06      4.161314557912273e-06      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5323.656134191942    All      7.2993417240969555e-06     1.0222526038654052e-05    -0.00026758353417684805    -1.098884686243358e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K2_B                   4343.823391821326    All      -0.0004195127378603074     0.00015583855278359282    -0.0009055670399381397     0.000146999545984487       
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6471.246860765987    All      -3.2930479200826614e-05    3.201724108554604e-06     -9.265647070438969e-06     1.1355964058870058e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K2_R                   6318.746806817312    All      -0.0002275016404435165     -7.359773651052262e-06    -0.00038055371154580394    5.472508414028961e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K2_V                   5326.309995403956    All      6.758426817505484e-05      4.580163230213198e-05     -0.0008354718984908803     -4.4378594777255206e-05    
MWEBV         All|All|All                                      All                  All      -0.8161819101636496        -4.03007114448668         0.04626296721120334        -1.044804953685699         
Redshift      All|All|All                                      All                  All      3.596411742563063          0.0898002611093851        0.6245535021631239         -1.1143477692694885        
