#Format:      
#Parameter    MagSys|Instrument|Band                           RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_I                   7832.889456942997    All      0.3354634702039732         -0.06564877757000431      0.16247184483555444        -0.12340508307215198       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4336.016007409195    All      -0.15004202226870936       0.07119204331473838       -0.1916484858659917        0.063510821830556          
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7763.477342785312    All      0.09934248568043157        -0.01588032846360221      0.07770978094698844        -0.03406403066915191       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5323.656134191942    All      0.02313030286086124        0.05433771423550837       -0.3011429926966791        -0.0032733480862533887     
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_B                   4343.823391821326    All      -0.9435446377979494        0.6967847566643925        0.16659606017730422        0.5417436660282191         
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6471.246860765987    All      0.26733571054464284        -0.02752965186649803      0.05000193751438786        -0.09381599249891522       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_R                   6318.746806817312    All      1.0196011417362385         -0.1013254709944178       0.13248081827768043        -0.3592106646992228        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_V                   5326.309995403956    All      0.34274541932091807        0.38606872275597226       -0.09997879833731904       0.009650230639362059       
Check         All|All|All                                      All                  All      0.9940318702804065         0.9979990080760892        -0.0035098351480744583     0.0011355994724418644      
Lambda        Linear_AB11_off|LOSS|LOSS_K2_I                   7832.889456942997    All      7.0946323341149775e-06     5.376472375079492e-06     7.26263958728417e-05       2.681321262392126e-06      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4336.016007409195    All      -7.318431489400685e-05     3.2136165252255475e-05    -9.422891693866803e-05     3.01013415393045e-05       
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7763.477342785312    All      -7.878830466995083e-06     9.6751427505643e-07       -7.29751330006856e-06      2.555891016267792e-06      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5323.656134191942    All      2.6865474416194786e-05     3.6812372619568656e-06    -0.0002649359397560689     -1.9374742964436275e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K2_B                   4343.823391821326    All      -0.00036033230977596366    0.00010014618375886041    -0.0008978334423662781     0.00010992681170379283     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6471.246860765987    All      -4.087945840149118e-05     4.542850425449998e-06     3.9321926435829585e-06     1.4971016032284056e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K2_R                   6318.746806817312    All      -0.00030118407391414447    -4.16867595762828e-06     -0.00048695724044504516    7.501702150343485e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K2_V                   5326.309995403956    All      5.568238064259051e-05      3.384937400244871e-05     -0.0008547114977167117     -4.52535771424532e-05      
MWEBV         All|All|All                                      All                  All      -0.8244334516770708        -4.023192584712376        0.07220171226660632        -1.0387190548712641        
Redshift      All|All|All                                      All                  All      3.351719122482048          0.5529766865913999        1.489645484468416          -0.8451664509832167        
