#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                    
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    4539.733477274906    All      3.7563006363380813        0.8249979468814672         0.610238130047681         -0.9275895979283655      
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    3791.006036662231    All      -2.7664539169723317       0.17602549248216803        -0.6043165847813765       0.9314944747034044       
Check         All|All|All                            All                  All      0.9898467193657495        1.0010234393636352         0.0059215452663045065     0.0039048767750389235    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    4539.733477274906    All      -0.000922860123081778     -0.00020245116420296752    -0.0006270281071393059    0.0002066795140718976    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    3791.006036662231    All      -0.0020185720435262513    0.0001262117486042327      -0.0025457693462149376    0.0005850206487619015    
MWEBV         All|All|All                            All                  All      -0.23461873058877036      -1.8546464770151871        0.05442828054022644       -0.5252674501603928      
Redshift      All|All|All                            All                  All      12.147247148673989        1.748972475523658          4.256103759384856         -3.1971297909168097      
