#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                   dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    4539.733477274906    All      3.8113208122979247       0.8204633604805167         -0.35268532203387437      -0.9899593944417098       
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    3791.006036662231    All      -2.8227428077493273      0.18064217792037596        0.35792574462391036       0.9942738803528272        
Check         All|All|All                            All                  All      0.9885780045485973       1.0011055384008927         0.005240422590035987      0.004314485911117383      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    4539.733477274906    All      -0.001027010244125702    -0.00022296918027266772    -0.0020216943152907693    0.00017168369467693775    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    3791.006036662231    All      -0.002233763806056561    0.0001533198727413838      -0.0028321719334644343    0.0006511648612095496     
MWEBV         All|All|All                            All                  All      -0.2309789039757566      -1.8546761519299793        0.057061074659892075      -0.526345238021439        
Redshift      All|All|All                            All                  All      12.622305089790263       1.6961000796356984         7.782802216105644         -3.211713715487978        
