#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V            5465.635266388207     All      0.2546247311573905         -0.007722073224769588      -0.7755113931876405        -0.12006249682373514       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4382.834927771287     All      -0.26185850205227046       0.23557528623214807        0.2800887348783392         0.1745296237663684         
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5353.985533511011     All      0.44712889009076817        0.16776136990079848        0.6985272671983431         -0.059827128528923995      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6197.630253871794     All      0.590581962336235          -0.009267461815642974      0.3725093532930048         -0.17876731034225937       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7577.551980949395     All      0.16382489090983854        -0.014484825242355726      0.10865314613128095        -0.0532326498801983        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r            6190.24825648148      All      0.5235854994861459         -0.07173598552210336       -0.28109048678004206       -0.20645957058537948       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i            7511.7204915464035    All      0.18603641416200495        -0.033296739503008155      -0.02198712192900205       -0.07242520826361121       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3581.7584809741784    All      -0.19843593776296223       0.08640230002128213        0.00422701577264558        0.09296981724595987        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B            4361.39702555969      All      -0.28229797569244863       0.10093079497934809        -0.45271837658413283       0.10462747657321515        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4787.836582615895     All      -0.09594799860967412       0.3482511222340001         0.7154106884856544         0.17661576064045895        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g            4695.915834078529     All      -0.3313322183718523        0.19442093617740852        -0.6457481426018186        0.1424383254113393         
Check         All|All|All                              All                   All      0.9959097556531752         0.9968347242371056         0.0023606846766319745      0.0004066392132341945      
Lambda        Linear_AB11_off|LCOGT|LCOGT_V            5465.635266388207     All      0.00010286575721240394     -4.8283462550874e-05       -0.000734747777215916      -8.202269226119167e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4382.834927771287     All      -6.524856393796017e-05     3.543049085103671e-05      -3.0892905126533465e-05    3.141587191747941e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5353.985533511011     All      0.00010443491279335984     3.846630335891858e-05      0.00017631891982256443     -1.36198428074104e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6197.630253871794     All      -0.0001521383463718162     1.7994879398235905e-06     -0.00011051955662120498    4.521063682558134e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7577.551980949395     All      -4.850026710304562e-05     4.8840445403608135e-06     -2.8843754575782962e-05    1.6101862301799403e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_r            6190.24825648148      All      -6.307360197304488e-05     1.7344838175947024e-06     -3.8863549062885094e-05    1.9375823963851575e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_i            7511.7204915464035    All      -1.4454167858079877e-05    -1.1664366953453415e-05    -0.0001040505384356004     -3.7345677071826682e-06    
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3581.7584809741784    All      -0.000297766565463714      8.70626156327919e-05       -0.00022236630226194875    0.00011542833800867066     
Lambda        Linear_AB11_off|LCOGT|LCOGT_B            4361.39702555969      All      -0.0002334298620242989     5.248047389454263e-05      -0.00048625576074251645    7.143104126941914e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4787.836582615895     All      -2.9901701806823624e-05    -2.259383435059671e-05     -0.0002029217692492587     -6.675053723427209e-06     
Lambda        Linear_AB11_off|LCOGT|LCOGT_g            4695.915834078529     All      -0.00016634081457633944    6.153933416400863e-06      -0.0006525427712478138     2.7067227469638378e-05     
MWEBV         All|All|All                              All                   All      -1.0110284042735107        -4.035165854698475         0.026783114692924943       -0.9838658513719978        
Redshift      All|All|All                              All                   All      5.898180397714073          0.6274996821284518         3.4874493028235793         -1.5612052642015606        
