#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V            5465.635266388207     All      0.2573161540678842         0.004019247280684368       -0.7305360235212277        -0.11510760326045866      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4382.834927771287     All      -0.25047603154464276       0.23704609639012553        0.2900199910955137         0.17174425625891          
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5353.985533511011     All      0.45909291119823215        0.1720423719130615         0.7247112861962474         -0.06116126810302436      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6197.630253871794     All      0.5585518048685099         -0.004790957884237557      0.3769269909361467         -0.1666787508125392       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7577.551980949395     All      0.13611133714700555        -0.01112735767279105       0.09793368596435759        -0.043590156300547106     
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r            6190.24825648148      All      0.5334283423379101         -0.06057361910434267       -0.2024871099253811        -0.20252205065212706      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i            7511.7204915464035    All      0.1789316758013624         -0.029056588473430622      -0.0010297300232858797     -0.06779457240650918      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3581.7584809741784    All      -0.15567605659400618       0.06791824935943325        -0.004220502509841295      0.07264367984025771       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B            4361.39702555969      All      -0.28354465107342947       0.1073581192270634         -0.44612069955022315       0.10742157474335906       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4787.836582615895     All      -0.07171069924657064       0.3082550275382623         0.6320632025238804         0.1519734154822816        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g            4695.915834078529     All      -0.35580283755740866       0.20143988191549944        -0.7407617742862693        0.14845549068263492       
Check         All|All|All                              All                   All      1.0062219494048468         0.9925304704893279         -0.00350068310008278       -0.004615984527762296     
Lambda        Linear_AB11_off|LCOGT|LCOGT_V            5465.635266388207     All      8.491908919537174e-05      -4.732152952537078e-05     -0.0008344639180790537     -8.031341221419312e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4382.834927771287     All      -9.057205359086696e-05     5.1589690178357706e-05     -1.0203092905744826e-05    4.585143975281356e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5353.985533511011     All      9.067957945351955e-05      5.3709951447953156e-05     0.00020902408492189396     -2.714439208881735e-06    
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6197.630253871794     All      -0.00012647553040472502    -2.983484265203066e-06     -0.00010097806328196157    3.5719235006479874e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7577.551980949395     All      -4.78940252450852e-05      4.804269481815646e-06      -2.2528127681789043e-05    1.6160241444461156e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_r            6190.24825648148      All      -6.892245618210263e-05     -8.235019988609966e-06     -0.0001433708669996272     1.3369911209949102e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_i            7511.7204915464035    All      -1.274889334662511e-05     -1.3074744866513156e-05    -0.00011485131378034176    -5.231427201236113e-06    
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3581.7584809741784    All      -0.00032018220622018824    0.00010226273990850066     -0.00024352762710600658    0.00012673669746422346    
Lambda        Linear_AB11_off|LCOGT|LCOGT_B            4361.39702555969      All      -0.0002538772513398773     6.327715824122821e-05      -0.0004864505886284427     8.159956968697358e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4787.836582615895     All      6.402582250391719e-05      -2.0331297174208173e-05    -9.532677453494569e-05     -3.17318852734244e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_g            4695.915834078529     All      -0.00021773447642676365    1.7080478595602418e-05     -0.0006386639385025433     4.798631773534776e-05     
MWEBV         All|All|All                              All                   All      -1.0203690187377847        -4.030479308299206         0.022638893664467252       -0.9794816811496382       
Redshift      All|All|All                              All                   All      5.9896362902266125         0.3988778385071612         3.2470446612132053         -1.6761932681215772       
