#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|DECam|DECam_i          5017.330713130318     All      0.9601117061790545         0.3973018076397494        1.0658360732663956         -0.13576233110808106       
Zeropoint     AB|DECam|DECam_r          4129.914855475875     All      -0.5950730113038767        0.44713199865640263       -0.49906364418362553       0.3172095409469455         
Zeropoint     AB|DECam|DECam_z          5879.573674802509     All      0.9917347105843419         0.07503797377488297       -0.5285340612634021        -0.3221843332907313        
Zeropoint     AB|DECam|DECam_g          3107.3619354399157    All      -0.37122394025833905       0.07978863626085797       -0.03704021411160052       0.14525669940909047        
Check         All|All|All               All                   All      0.9855494652011808         0.999260416331893         0.0011981537077674353      0.004519575957223576       
Lambda        AB|DECam|DECam_i          5017.330713130318     All      -0.0002703495711098361     -9.613122309599321e-05    -0.0015046923697588836     -1.0398862098737507e-05    
Lambda        AB|DECam|DECam_r          4129.914855475875     All      -0.0004009141521686615     0.00026352358084168046    -0.0005442136216938029     0.00019214347454015994     
Lambda        AB|DECam|DECam_z          5879.573674802509     All      -0.00020394472692158896    6.47803870642543e-07      0.0004709915267955185      8.766070682840963e-05      
Lambda        AB|DECam|DECam_g          3107.3619354399157    All      -0.001026005465103422      0.0002079682298002576     -0.00029157451735878365    0.0003889341974024515      
MWEBV         All|All|All               All                   All      -0.4145462441558263        -2.1810246086630514       0.05858572699483876        -0.5727857068107272        
Redshift      All|All|All               All                   All      5.1635188341991896         0.33322155190198544       7.8770421123500025         -1.2218705253763043        
