#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5139.376107971656    All      3.611631020331279          0.1633054850483262        -0.13748594942293302      -1.1293684398546888        
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4291.751035061559    All      -2.615002533726006         0.8387831807869617        0.1403190336516147        1.1312734274017064         
Check         All|All|All                            All                  All      0.9966284866052731         1.0020886658352879        0.0028330842286816704     0.0019049875470176225      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5139.376107971656    All      0.0004111173366444409      1.2198564610527178e-05    -9.446563064827073e-05    -0.00013415653532010646    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4291.751035061559    All      -0.00024139450847572412    1.0745558100756688e-05    -0.0008369310238510194    4.478192713644662e-05      
MWEBV         All|All|All                            All                  All      -0.05326975994255223       -2.2772978670037247       -0.006683252661487948     -0.7247373656924418        
Redshift      All|All|All                            All                  All      3.350331451957331          0.34693849223703666       -3.1168648377960295       -1.117395258142785         
