#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|MEGACAMPSF|i           3867.845401159992    All      0.4936834296515069        0.5079325310402893         -1.4408373520428661       -0.05965655239123461      
Zeropoint     AB|MEGACAMPSF|z           4457.563234922906    All      1.607387583464943         0.57696878801341           1.1554401951086475        -0.28407931228718186      
Zeropoint     AB|MEGACAMPSF|r           3164.966852408799    All      -1.107774940070482        -0.08751226580425708       0.2847153100106548        0.34503865528914807       
Check         All|All|All               All                  All      0.993296073045968         0.9973890532494423         -0.0006818469235638225    0.0013027906107315745     
Lambda        AB|MEGACAMPSF|i           3867.845401159992    All      0.00048007290179769496    0.000516716538202181       -0.002259955569594179     -8.891539955371871e-05    
Lambda        AB|MEGACAMPSF|z           4457.563234922906    All      -0.0002463774778993787    -0.00011046149964593016    -0.0009183924551296015    3.288668371561275e-06     
Lambda        AB|MEGACAMPSF|r           3164.966852408799    All      -0.002340882794383647     -0.00017927010977984318    0.0004674925744046802     0.0007249704128004055     
MWEBV         All|All|All               All                  All      -0.5536442511078106       -1.5769195235217026        0.16015104931942875       -0.3261676151977624       
Redshift      All|All|All               All                  All      6.995501320463276         1.5125180351953205         2.923315402642254         -1.655533900685983        
