#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6000.332158019051    All      1.2396049016198925         0.10601441208688556        -0.47308352291133837       -0.39035926129376564      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7310.341764740014    All      0.9719888985272302         -0.5143259090503172        0.6660419937026263         -0.4544192359740351       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5207.201162042187    All      -0.38421929673511557       0.9579091551621843         -0.050267349659283145      0.43493219055178445       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4210.581492241192    All      -0.8668520528662707        0.46654088252928716        -0.17854728194033886       0.42636220122792556       
Check         All|All|All                                All                  All      0.9605224505457366         1.0161385407280399         -0.03585616080833409       0.016515894511909268      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6000.332158019051    All      -6.083475207794054e-05     -5.3363367948489186e-05    -0.0011517167891042976     -4.896215504164086e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7310.341764740014    All      -0.00017400452438230137    -7.786461849567634e-05     -0.0006870091993044168     6.578650103973732e-07     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5207.201162042187    All      -0.00032642428616611074    0.0006496404825430763      -0.0009054852378969523     0.0002775287593215976     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4210.581492241192    All      -0.0009096704793820367     0.0005209446594850674      -0.00035100484564457474    0.0004503346824149177     
MWEBV         All|All|All                                All                  All      -0.785242870259983         -3.9338541363039603        0.013672376086448779       -1.0249961402345713       
Redshift      All|All|All                                All                  All      10.117966502741304         -4.225802247395549         15.82140851164392          -3.966200581121054        
