#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_U    3663.69511345472     All      -0.41458816829673323       0.22441656882841166        -0.050980701561701064      0.20586983094827097        
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_R    6383.53617688455     All      0.9925236311162859         -0.03484097233004135       -0.08434523437478827       -0.33841039106047993       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_V    5402.363148672128    All      0.7642759493919034         0.37389049131348884        0.397650589689273          -0.1094160675214932        
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_I    8258.49685156901     All      0.22381127257793648        -0.028618746789943472      0.0027737495464821853      -0.0821009823061928        
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_B    4377.21961136844     All      -0.5700065547807662        0.46353900203075504        -0.2646283586638151        0.3248506422392764         
Check         All|All|All                                All                  All      0.9960161300086264         0.9983863430526707         0.00047004463545075037     0.0007930322993814354      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_U    3663.69511345472     All      -0.0009726559845350112     0.00033989607130395917     -0.0008039860960550657     0.000391663179374406       
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_R    6383.53617688455     All      -0.0002384920581859394     -3.138746296007101e-05     -0.00034333696523166935    5.2139228335221394e-05     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_V    5402.363148672128    All      0.00015147559658942379     -9.617566607102432e-05     -0.0011894977570001731     -0.00013374998546236867    
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_I    8258.49685156901     All      -1.5206650452608282e-05    -2.2912918689536694e-06    -6.306089166840588e-06     3.9255453966766945e-06     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_B    4377.21961136844     All      -0.00036807662552430483    8.397339885135889e-05      -0.0010862689881361374     9.877236905570453e-05      
MWEBV         All|All|All                                All                  All      -1.0595945978116017        -3.993014930321559         0.014027302015034862       -0.9548855348970351        
Redshift      All|All|All                                All                  All      6.641596941921591          -0.594898396353738         1.582880944945604          -2.286527898637714         
