#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_U    3663.69511345472     All      -0.49671043678267124       0.3511680408311568        0.2569715824906206         0.2876493760309587        
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_R    6383.53617688455     All      1.0021894034502705         -0.12935266012467084      -0.38186608855053233       -0.38562140641901116      
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_V    5402.363148672128    All      0.7284727100723198         0.32503706786498054       0.1986371894146549         -0.12254799584935881      
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_I    8258.49685156901     All      0.23335209284281694        -0.04909402549530539      -0.07623201374435395       -0.09540387759644914      
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_B    4377.21961136844     All      -0.581636510174227         0.547959344037735         0.10612306356118928        0.37268231723773454       
Check         All|All|All                                All                  All      0.8856672594085089         1.0457177671138962        0.10363373317157848        0.05675841340387411       
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_U    3663.69511345472     All      -0.0016889130226771733     0.000772500914116818      -0.00038063792444340314    0.000784777374965878      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_R    6383.53617688455     All      -0.0001860845391297202     1.3294854820381726e-05    -0.00018172978424866264    5.6834662380467484e-05    
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_V    5402.363148672128    All      0.00019474593604226303     5.4749909253543924e-05    -0.0007366422286570707     -7.847427104714586e-05    
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_I    8258.49685156901     All      -3.5473255895153446e-05    1.0728862210458268e-05    1.694125192899851e-05      1.58055601367702e-05      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_B    4377.21961136844     All      -0.0005678739279575546     0.00031435658627345335    -0.0008891711920453958     0.00024769187652142957    
MWEBV         All|All|All                                All                  All      -1.161921433322652         -3.939360988771057        0.10351076946968907        -0.9000842280231458       
Redshift      All|All|All                                All                  All      6.771191868201187          -1.6711731515406836       2.923188260213583          -2.6195075661539446       
