#Format:      
#Parameter    MagSys|Instrument|Band         RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     VEGAHST|NICMOS2|F160W          6334.161800671627    All      1.9632332129301306        0.35536325249569956        2.9407545160274218         -0.3925037758106431       
Zeropoint     VEGAHST|NICMOS2|F110W_faint    4549.17583963895     All      -0.7678441570895886       0.12611724652771272        -6.316610352457541         0.009311330726585743      
Zeropoint     VEGAHST|ACSWF|F850LP           3559.504792214226    All      -0.1825256696842037       0.5264337634530492         3.501592777263207          0.3871914148606881        
Check         All|All|All                    All                  All      1.012863386156338         1.0079142624764614         0.12573694083308773        0.003998969776630723      
Lambda        VEGAHST|NICMOS2|F160W          6334.161800671627    All      -0.0001986835852850225    -1.6227466373721677e-05    -0.00017307687908330502    5.170833435729252e-05     
Lambda        VEGAHST|NICMOS2|F110W_faint    4549.17583963895     All      -0.0010022546650756148    7.933441836294857e-05      -0.009024198249092313      -5.039937351370805e-05    
Lambda        VEGAHST|ACSWF|F850LP           3559.504792214226    All      -0.001213785341074043     0.0011258212890049627      0.003599887812803478       0.0009227333095873231     
MWEBV         All|All|All                    All                  All      -0.10062964385666717      -0.9930083426530345        -0.07449701373065665       -0.2940015601555268       
Redshift      All|All|All                    All                  All      3.9978342013156922        -0.9443397380907825        0.9562096696813516         -1.5671573989120946       
