#Format:      
#Parameter    MagSys|Instrument|Band         RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     VEGAHST|NICMOS2|F160W          6334.161800671627    All      1.7465269524121436         0.32596370118707085       1.7555783837775951        -0.3843807858786783        
Zeropoint     VEGAHST|NICMOS2|F110W_faint    4549.17583963895     All      -0.2689452316451315        0.3203877230117058        -2.9253190402486626       0.061421578548133716       
Zeropoint     VEGAHST|ACSWF|F850LP           3559.504792214226    All      -0.476547877312523         0.3614550438383546        1.1705482295205287        0.32520131224599025        
Check         All|All|All                    All                  All      1.0010338434544892         1.0078064680371313        0.0008075730494612188     0.0022421049154456862      
Lambda        VEGAHST|NICMOS2|F160W          6334.161800671627    All      -0.00021182376365162976    -1.807536159989028e-05    -0.0001434315317329012    5.6709538177306846e-05     
Lambda        VEGAHST|NICMOS2|F110W_faint    4549.17583963895     All      -0.00041262789289937644    0.00018732456862819786    -0.004470127733248518     -4.0570156115546374e-06    
Lambda        VEGAHST|ACSWF|F850LP           3559.504792214226    All      -0.0012355656463798798     0.0006401208534514718     0.0011997705418885399     0.0006645130501856944      
MWEBV         All|All|All                    All                  All      -0.09913215741612791       -0.98996282405448         -0.0498124370882173       -0.29239575586952377       
Redshift      All|All|All                    All                  All      4.23991050972142           0.06533375696005095       1.5381285882789764        -1.2911573733443482        
