#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_z            6757.850228754948     All      0.21940578508458458        0.02394815135495776        0.925089462919586          -0.02238448772301093      
Zeropoint     AB|SDSS|SDSS_r            4687.192715977922     All      1.1754538403518362         0.45084038917906355        2.6801440934381517         -0.11642791868786503      
Zeropoint     AB|SDSS|SDSS_g            3587.0428757457444    All      -1.1558680018940126        0.3271080794323922         -0.9545245378473666        0.4404580520004286        
Zeropoint     AB|SDSS|SDSS_i            5684.040405975445     All      0.760858265318353          0.19716724183442835        -2.63518516235058          -0.30120892206057137      
Check         All|All|All               All                   All      0.9998498888607608         0.9990638618008418         0.015523856159791016       0.0004367235289812754     
Lambda        AB|SDSS|SDSS_z            6757.850228754948     All      -8.475712838478092e-05     -1.0572575529339716e-05    -0.00034197471241878547    8.903588682106706e-06     
Lambda        AB|SDSS|SDSS_r            4687.192715977922     All      -0.00024213535540353962    -9.062776957297248e-05     -0.0007962488813680775     1.3818074619915477e-05    
Lambda        AB|SDSS|SDSS_g            3587.0428757457444    All      -0.0017105009109185687     0.00043202988596894356     -0.0034095468151315073     0.0005457403528385979     
Lambda        AB|SDSS|SDSS_i            5684.040405975445     All      -0.00010332212656345204    -2.526734252334438e-05     0.0004185952989536048      4.4104996741612874e-05    
MWEBV         All|All|All               All                   All      -0.6364414741861579        -2.786475407112299         0.04272044113236855        -0.6984303688895787       
Redshift      All|All|All               All                   All      6.519592231622668          -0.07998382934477632       3.4890003815268242         -1.9940009800320095       
