#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                    
Zeropoint     AB|SDSS|SDSS_z            6757.850228754948     All      0.6035390994359839        0.10234804946307463        3.8218164536258925         0.0072957016852892576    
Zeropoint     AB|SDSS|SDSS_r            4687.192715977922     All      1.4145332768069827        0.5426244200886998         2.9443401829850835         -0.1526170200812138      
Zeropoint     AB|SDSS|SDSS_g            3587.0428757457444    All      -1.2093841563096481       0.26266190023847           -0.4789325923058918        0.4581212675577234       
Zeropoint     AB|SDSS|SDSS_i            5684.040405975445     All      0.20650473041178596       0.09530744041441608        -6.157420001496483         -0.3109979902939375      
Check         All|All|All               All                   All      1.0151929503451045        1.0029418102046606         0.12980404280860114        0.0018019588678613863    
Lambda        AB|SDSS|SDSS_z            6757.850228754948     All      -0.0001305079668737323    -2.1874894836823056e-05    -0.0007768189696152134     7.195026708876214e-07    
Lambda        AB|SDSS|SDSS_r            4687.192715977922     All      -0.0005975989080050742    -0.00018269844267478362    -0.0028267642018589543     9.00122790736607e-06     
Lambda        AB|SDSS|SDSS_g            3587.0428757457444    All      0.0005502080701936033     0.00048098043620916405     0.01292580810852743        0.0005542697318839801    
Lambda        AB|SDSS|SDSS_i            5684.040405975445     All      -0.000190352895579173     -3.2879080125464126e-05    -0.00035230755049552113    3.557253453935585e-05    
MWEBV         All|All|All               All                   All      -0.8643775559361058       -2.801768952532413         -1.4042823244496017        -0.6937387866599032      
Redshift      All|All|All               All                   All      4.680181119394233         0.5445087429972517         -6.7253280059444975        -1.6472450531633154      
