#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_i            6723.910419133956     All      1.7454080663756737        -0.08097993310904883       2.5745396270051124        -0.4800247786921896        
Zeropoint     AB|SDSS|SDSS_g            4243.27648001087      All      -1.5456236029338246       0.9267470851703763         -1.147421232018342        0.7541283320253056         
Zeropoint     AB|SDSS|SDSS_z            7994.168992237189     All      0.352561862676369         -0.018022923128135915      0.7062502921641567        -0.08919494976482589       
Zeropoint     AB|SDSS|SDSS_u            3226.9546885196614    All      -0.12459289319027403      0.050011743032740696       -0.08427769450154443      0.0531135479075906         
Zeropoint     AB|SDSS|SDSS_r            5544.693860078954     All      0.5569890510039357        0.13450232095415515        -2.0614899835979195       -0.2296126572647217        
Check         All|All|All               All                   All      0.9847424839318798        1.0122582929200874         -0.012398990948536692     0.008409494211158997       
Lambda        AB|SDSS|SDSS_i            6723.910419133956     All      -0.0007957353673090783    -1.2972984127759989e-06    -0.0020514085377871193    0.00016722967401285572     
Lambda        AB|SDSS|SDSS_g            4243.27648001087      All      -0.0010238121177583524    0.0005071049376197645      -0.001184502894198518     0.00044581112666870363     
Lambda        AB|SDSS|SDSS_z            7994.168992237189     All      4.3936493550040275e-05    1.3029179343524749e-05     0.00025264584895227357    1.2068948208293006e-06     
Lambda        AB|SDSS|SDSS_u            3226.9546885196614    All      -4.021969967357055e-05    -8.051347146936723e-07     -0.0001046112379692526    8.170301419247319e-06      
Lambda        AB|SDSS|SDSS_r            5544.693860078954     All      0.0007219015775338147     9.863948142220213e-06      -0.001323638853585076     -0.00029100200401718237    
MWEBV         All|All|All               All                   All      -0.5960054210379497       -3.6255144902273884        0.033921159790128996      -0.9852970261557625        
Redshift      All|All|All               All                   All      5.775921696206844         -0.008434727266148911      22.562365150528496        -0.8773004553259245        
