#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_I    7935.3527419500215    All      0.16423598013096205        -0.10389320026309434      -0.038864042640667944      -0.08907281896932505      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_V    5196.869344585837     All      0.03433497430201038        0.19012137045848476       0.1451608902736373         0.05722261828142107       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_R    6141.042828391333     All      0.5477968072287461         0.17001185683636066       -1.0668480809577483        -0.1706655170956342       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_B    4174.597438002122     All      -0.5913517332145165        0.3785570501740665        -0.18333667276146642       0.30774972613037854       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_R    6143.303418329089     All      0.9504225205627618         -0.29047958592007816      0.9030161319329105         -0.3639051779830721       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_V    5152.751218284852     All      -0.12931720228165278       0.6921354682018155        -0.9033959634570473        0.22725974706509863       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_B    4297.037361250121     All      -0.30002543525464187       0.0793638479670733        0.5323217439155624         0.14733464564760496       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_I    7611.692526763925     All      0.31815596427891735        -0.11506454674217181      0.5852954292107828         -0.11499512613003646      
Check         All|All|All                       All                   All      0.9942518757525866         1.0007522607124564        -0.02665056448403702       0.0009280969464354194     
Lambda        Linear_AB11_off|LOSS|LOSS_N2_I    7935.3527419500215    All      -1.1942864401834994e-05    6.58960779727764e-06      -9.078761253912668e-05     1.9852017202776154e-06    
Lambda        Linear_AB11_off|LOSS|LOSS_K4_V    5196.869344585837     All      -1.2665214220501392e-05    7.620525710029145e-05     -0.00039884595540912746    1.114937310415061e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_N2_R    6141.042828391333     All      -0.0001256847364972414     -9.322327820288432e-06    -5.00467219678083e-05      3.5669709370476625e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_N2_B    4174.597438002122     All      -0.0004927053361423615     0.00021748895441057003    -0.0008399217640158497     0.00019385179442435183    
Lambda        Linear_AB11_off|LOSS|LOSS_K4_R    6143.303418329089     All      -0.00025923601599278314    0.00011611302252875668    -0.0006301581242984127     9.414246758718479e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_N2_V    5152.751218284852     All      -0.00012136231930708915    0.00021419322231019095    -0.0013795692129101374     4.773764151419911e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_B    4297.037361250121     All      -0.00017194139123640154    4.3006457872430605e-06    0.0001560697430324403      6.43725054785306e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K4_I    7611.692526763925     All      -0.00011276390168488213    4.950192037642972e-05     -0.000278209197826356      4.0440117901987326e-05    
MWEBV         All|All|All                       All                   All      -0.7897524867310062        -3.9552079727973144       0.07840803156113492        -1.0275940018704994       
Redshift      All|All|All                       All                   All      7.7739716476644976         -1.0927585583370814       10.963242045569551         -2.3989465947096256       
