#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|CNIa02|SDSS_r                      6165.153145196472    All      0.779455804077054          -0.14309507404659527       0.24435449144366572        -0.2896007533537026        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4370.605490243393    All      -0.6163868418826148        0.35376825842048376        -0.5431036550221702        0.29177521158471054        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5467.857410035314    All      0.12118554240130686        0.6886040362301671         -0.10479035143386994       0.1801505588542085         
Zeropoint     AB|PS|PS_r                            6201.981730878734    All      0.6187289587538252         -0.25845752263888855       -0.05967405910114465       -0.2883914747523031        
Zeropoint     AB|PS|PS_z                            8633.055565265304    All      0.09810880576311558        -0.0428880929961295        -0.02691990761869434       -0.04712864042443199       
Zeropoint     AB|PS|PS_i                            7511.943080837849    All      0.08997551430330164        -0.07148978796562844       -0.2752635348359789        -0.06487830831969355       
Zeropoint     AB|PS|PS_g                            4883.711233144207    All      -0.3364194943240072        0.5011034540195247         0.507623206487473          0.2954616702385393         
Zeropoint     AB|CNIa02|SDSS_i                      7476.325747577478    All      0.26874146195940934        -0.08021150519779141       0.23300022253094355        -0.10326773181448257       
Check         All|All|All                           All                  All      1.0233897510513903         0.9473337658251424         -0.024773587549775655      -0.025879467987155458      
Lambda        AB|CNIa02|SDSS_r                      6165.153145196472    All      0.0005270904105310165      -7.587432965283506e-05     0.0005048541935009873      -0.00017387612888410958    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4370.605490243393    All      -0.0006419825912332267     0.00025497963970613476     -0.0012672900061960236     0.00023561677527378055     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5467.857410035314    All      1.0075800083212045e-05     0.0003003190088241704      -0.00032008123877209314    8.025800619843048e-05      
Lambda        AB|PS|PS_r                            6201.981730878734    All      4.707449995617211e-05      1.839390799631714e-05      9.354011744539221e-05      -5.167946537405939e-06     
Lambda        AB|PS|PS_z                            8633.055565265304    All      0.00013037816723774213     -5.099135848322959e-05     3.439140240989552e-06      -5.892454837392709e-05     
Lambda        AB|PS|PS_i                            7511.943080837849    All      -3.7344979268229305e-06    -5.3631715892545686e-05    -0.0004319481665063786     -3.5529028266155257e-05    
Lambda        AB|PS|PS_g                            4883.711233144207    All      -0.00026609121773978766    0.00023132541525728846     9.361966986090252e-05      0.0001662027777745993      
Lambda        AB|CNIa02|SDSS_i                      7476.325747577478    All      -6.886188010587274e-06     -9.770214529589114e-06     -0.00012807669964009174    -6.65489718882554e-06      
MWEBV         All|All|All                           All                  All      -0.8580263724740562        -4.134630365127112         -0.011602350221817659      -1.067815477079298         
Redshift      All|All|All                           All                  All      5.0786695093377014         -2.9968945741561726        3.3736861403486085         -2.479924782497106         
