#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|CNIa02|SDSS_r                      6165.153145196472    All      0.6704320610184029         -0.04065184816841594      0.36095149372635293        -0.21551581581312979       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4370.605490243393    All      -0.7994723714695355        0.5205302910106901        -0.3058536695431995        0.4163194494308819         
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5467.857410035314    All      0.30256232598735466        0.3615476782394822        0.1324416149827408         0.025123730783310445       
Zeropoint     AB|PS|PS_r                            6201.981730878734    All      0.5645657299479088         -0.08942714194937196      -0.20323501599309818       -0.22209643944245447       
Zeropoint     AB|PS|PS_z                            8633.055565265304    All      0.1398440611896979         -0.03744425165921328      0.02210094642328236        -0.05676237237424153       
Zeropoint     AB|PS|PS_i                            7511.943080837849    All      0.18368400064328375        -0.08894266598353795      -0.3592786966273738        -0.10483643259438825       
Zeropoint     AB|PS|PS_g                            4883.711233144207    All      -0.2903388380368679        0.4145635343331122        0.1612720901412967         0.236806725967211          
Zeropoint     AB|CNIa02|SDSS_i                      7476.325747577478    All      0.22554127636493507        -0.04333531940803326      0.1913577706435316         -0.07904253459114154       
Check         All|All|All                           All                  All      0.9968182456451795         0.9968402764147122        -0.00024346624646706672    -3.6886339522118616e-06    
Lambda        AB|CNIa02|SDSS_r                      6165.153145196472    All      -0.00011792912621382246    9.873500382661726e-06     -6.030508896802615e-05     3.893838091461388e-05      
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4370.605490243393    All      -0.0002093301708803449     6.0007480444267896e-05    -0.00044412524741725944    6.79128639832079e-05       
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5467.857410035314    All      9.842006943321987e-07      -7.938602652147159e-06    -9.431461345210014e-05     -7.115278628474619e-06     
Lambda        AB|PS|PS_r                            6201.981730878734    All      -0.00019633151109974535    -1.142534104262636e-05    -0.00041603287007800437    4.166438659818645e-05      
Lambda        AB|PS|PS_z                            8633.055565265304    All      0.00011110677145690533     -2.864396745543204e-05    9.102519923248414e-06      -4.511520966868155e-05     
Lambda        AB|PS|PS_i                            7511.943080837849    All      -2.323274074909731e-06     -2.731312903937467e-05    -0.00025081647178987887    -1.933280508132845e-05     
Lambda        AB|PS|PS_g                            4883.711233144207    All      -8.1356866064908e-05       -3.078305946882615e-05    -0.00048566644980275043    -5.199510432213345e-06     
Lambda        AB|CNIa02|SDSS_i                      7476.325747577478    All      -7.00416226342512e-05      1.6113746927751332e-05    -4.691906922865574e-05     2.5969855725627587e-05     
MWEBV         All|All|All                           All                  All      -0.8540043787765397        -4.125123452234014        -0.047778461780553165      -1.0676432321568112        
Redshift      All|All|All                           All                  All      5.361351642773052          0.06893435093093814       -1.601801841619789         -1.7953954866918649        
