#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_r            4898.060896570457    All      0.8010060417380078         0.36790064638339004        -0.515947945347779        -0.16410106314894576      
Zeropoint     AB|SDSS|SDSS_i            5939.754930948295    All      1.1464949426682982         0.13697183768144328        0.0842280384791966        -0.32507617710593         
Zeropoint     AB|SDSS|SDSS_g            3748.417338190502    All      -1.0802033651812495        0.47690287434143386        0.1316882340867039        0.5130773705513231        
Zeropoint     AB|SDSS|SDSS_z            7061.873482929402    All      0.1308974812281472         0.017031209229756428       0.30109343284049217       -0.02365357384340175      
Check         All|All|All               All                  All      0.9981951004532037         0.9988065676360236         0.0010617600586136922     0.00024655645304558216    
Lambda        AB|SDSS|SDSS_r            4898.060896570457    All      -0.0002700164201825002     -8.322404364831061e-05     -0.001817236898037356     -2.025051416838051e-05    
Lambda        AB|SDSS|SDSS_i            5939.754930948295    All      -0.00015327387781089314    -1.9449675174677367e-05    -6.436333868551997e-05    4.071870528869692e-05     
Lambda        AB|SDSS|SDSS_g            3748.417338190502    All      -0.0015478506405246016     0.0006384921718231876      -0.0005817136781743848    0.0006862045727810744     
Lambda        AB|SDSS|SDSS_z            7061.873482929402    All      -5.38141611009114e-05      -7.0201609014955105e-06    -0.0001237475486875554    9.720060595837393e-06     
MWEBV         All|All|All               All                  All      -0.5639420802093422        -2.990522582390298         0.09076791388012036       -0.7863665465730878       
Redshift      All|All|All               All                  All      4.714494162576749          -0.022038600617513282      7.663091622058833         -1.2008759644860592       
