#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_r            4898.060896570457    All      0.9537758874251875        0.42313144507488687        -0.20044897869755418       -0.1817934698475132       
Zeropoint     AB|SDSS|SDSS_i            5939.754930948295    All      1.0651021751615406        0.12952904975200852        0.13161623732127117        -0.2988735182073349       
Zeropoint     AB|SDSS|SDSS_g            3748.417338190502    All      -1.1346471806196707       0.43219028023013806        -0.1526378980091463        0.5035589800724938        
Zeropoint     AB|SDSS|SDSS_z            7061.873482929402    All      0.11404511208842258       0.013842937657670973       0.2220935684938247         -0.02272812884270281      
Check         All|All|All               All                  All      0.99827599405548          0.9986937127147044         0.0006229291083953981      0.00016386317494287983    
Lambda        AB|SDSS|SDSS_r            4898.060896570457    All      -0.0003987505687821486    -0.0001454623326272716     -0.001570535972345966      1.2418504216117162e-05    
Lambda        AB|SDSS|SDSS_i            5939.754930948295    All      -0.0002701086636695174    -3.5899094575260055e-05    -0.00014831169979263772    6.967129192920717e-05     
Lambda        AB|SDSS|SDSS_g            3748.417338190502    All      -0.0011485984770213764    0.0004255351127721949      -0.0006142929020701344     0.0004853340267784896     
Lambda        AB|SDSS|SDSS_z            7061.873482929402    All      -4.24336981348902e-05     -4.9686076058786905e-06    -8.050678262612115e-05     8.61096459584134e-06      
MWEBV         All|All|All               All                  All      -0.602605088119486        -2.9807802973508046        0.06789615465872412        -0.7716200117404148       
Redshift      All|All|All               All                  All      4.376864690369172         0.7261500378760388         5.429226059911185          -0.9468764437411403       
