#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_i            5740.443296339555    All      1.1849845824788778         0.19806635757895208        0.11856719493761103        -0.3161806251444538        
Zeropoint     AB|SDSS|SDSS_z            6824.908563728928    All      0.15261573697581737        0.03178388906022178        0.2647716323751233         -0.02754336621505006       
Zeropoint     AB|SDSS|SDSS_g            3622.637201542471    All      -1.0903134317902872        0.35786368524490797        -0.15018556237675132       0.46501683875882094        
Zeropoint     AB|SDSS|SDSS_r            4733.70385910717     All      0.7509683634132849         0.41133834869455654        -0.22870227018538836       -0.12083460121632784       
Check         All|All|All               All                  All      0.9982552510776928         0.9990522805786384         0.004450994750594656       0.000458246182989272       
Lambda        AB|SDSS|SDSS_i            5740.443296339555    All      -0.00037379141009850783    -6.392760663408225e-05     1.720408703378488e-05      0.00010170057439350297     
Lambda        AB|SDSS|SDSS_z            6824.908563728928    All      -7.94202329626721e-05      -1.7020932075514833e-05    -0.00014169459058797844    1.4002326376744047e-05     
Lambda        AB|SDSS|SDSS_g            3622.637201542471    All      -0.0021364781166744945     0.00038113804168835594     -0.002899890568974065      0.0006906616125125093      
Lambda        AB|SDSS|SDSS_r            4733.70385910717     All      -0.00012238090191825815    -5.948031933072095e-05     -0.000608384564477219      -6.6606197869191584e-06    
MWEBV         All|All|All               All                  All      -0.555644630520745         -2.8195619952242623        0.2391147058050675         -0.7267617752469782        
Redshift      All|All|All               All                  All      6.927455674662071          -0.18557173506188462       -1.4206595397113293        -2.3803445494020874        
