#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_i            5740.443296339555    All      0.9988359410002732         0.18766968294787745        0.1522504445502726        -0.25742929874560533      
Zeropoint     AB|SDSS|SDSS_z            6824.908563728928    All      0.18406640601306182        0.03881998925585606        0.3002245535339121        -0.033913893460280065     
Zeropoint     AB|SDSS|SDSS_g            3622.637201542471    All      -0.8417510256585335        0.31100535358739023        -0.19896788228397355      0.3666116545188988        
Zeropoint     AB|SDSS|SDSS_r            4733.70385910717     All      0.6607017593315158         0.4603961179933336         -0.2506001298815619       -0.07642927007555575      
Check         All|All|All               All                  All      1.0018530806863173         0.9978911437844573         0.002906985918649241      -0.0011608077625423208    
Lambda        AB|SDSS|SDSS_i            5740.443296339555    All      -0.000586904542525139      -0.00016444034610111968    -0.0005324667201828525    0.00011384894324396373    
Lambda        AB|SDSS|SDSS_z            6824.908563728928    All      -9.373609567039442e-05     -1.5190767606734574e-05    -8.783089311922935e-05    2.1665308047663004e-05    
Lambda        AB|SDSS|SDSS_g            3622.637201542471    All      -0.0015337717982946393     0.0005007443867683966      -0.0013357126077821596    0.000603102136090189      
Lambda        AB|SDSS|SDSS_r            4733.70385910717     All      -0.00029030285662540097    -3.717030497386624e-05     -0.0008447735990891424    4.47552340639486e-05      
MWEBV         All|All|All               All                  All      -0.5878078576028516        -2.8262940602967745        0.05684786535038455       -0.7266117410882477       
Redshift      All|All|All               All                  All      6.3188603229188125         -0.5138767164053704        -5.121033980215728        -2.4541754705582206       
