#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_g            4253.533696915174     All      -0.8041441927736229       0.6656999861025525        -0.15664688651481273      0.4717861744050965        
Zeropoint     AB|SDSS|SDSS_i            6740.164040112713     All      0.8192432208620997        -0.043836787351203554     0.2553386310106448        -0.26973896278985177      
Zeropoint     AB|SDSS|SDSS_z            8013.493192700986     All      0.15579696985833325       -0.015613761721056107     0.060216633492095044      -0.053146922733215744     
Zeropoint     AB|SDSS|SDSS_r            5558.0969762460745    All      0.9233093878610422        0.33366949024689063       -0.21690302181004628      -0.20174449889320129      
Zeropoint     AB|SDSS|SDSS_u            3234.7551640098714    All      -0.10040605959523785      0.06051174069909848       0.061624562564908114      0.05516624279013966       
Check         All|All|All               All                   All      0.9937993262126142        1.000430667976282         0.003629918742788951      0.0023220327789673714     
Lambda        AB|SDSS|SDSS_g            4253.533696915174     All      -0.000591863621136801     0.0002719683412320643     -0.0010730752198041891    0.0002334920707673262     
Lambda        AB|SDSS|SDSS_i            6740.164040112713     All      -0.0005186355373509874    3.956571692542772e-06     -0.0004972812446594014    0.0001480340646661864     
Lambda        AB|SDSS|SDSS_z            8013.493192700986     All      1.7840135175378424e-05    -4.922274607609719e-08    3.402380434812678e-05     -4.308826295036206e-06    
Lambda        AB|SDSS|SDSS_r            5558.0969762460745    All      8.635817717517842e-05     -4.439914681166737e-05    -0.0007156701969655995    -7.452903614694884e-05    
Lambda        AB|SDSS|SDSS_u            3234.7551640098714    All      -8.125392354689197e-05    4.88375744768638e-05      4.749618394234085e-05     4.449461733676107e-05     
MWEBV         All|All|All               All                   All      -0.7787964661865359       -3.5330889038586832       0.1087165187718377        -0.89231214156365         
Redshift      All|All|All               All                   All      2.753664223419306         0.38142198321615695       -2.831047920827602        -0.8990540082594562       
