#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_g            4253.533696915174     All      -0.598689057994751         0.4772028378489779        -0.5699769706186242       0.32501793187914574       
Zeropoint     AB|SDSS|SDSS_i            6740.164040112713     All      1.325263766748271          -0.19311808026003519      1.112935679067495         -0.44492171302151773      
Zeropoint     AB|SDSS|SDSS_z            8013.493192700986     All      0.2779437663562063         -0.0796996059214905       0.18775848154310992       -0.10811741378055073      
Zeropoint     AB|SDSS|SDSS_r            5558.0969762460745    All      -0.008807370780546053      0.7950133197624609        -0.7311838432170648       0.22920146710823097       
Zeropoint     AB|SDSS|SDSS_u            3234.7551640098714    All      -0.0024539620359869787     0.003447015842716894      0.007329584111115395      0.0022492283068165086     
Check         All|All|All               All                   All      0.9932571422931933         1.00284548727263          0.006862930886031293      0.0034295004921247596     
Lambda        AB|SDSS|SDSS_g            4253.533696915174     All      -0.0009081183376373004     0.0010465455992922275     0.0006185617527450693     0.000664301920865017      
Lambda        AB|SDSS|SDSS_i            6740.164040112713     All      -0.000376266631072672      0.00011218827439404942    0.00024613268069030656    0.000170089603492278      
Lambda        AB|SDSS|SDSS_z            8013.493192700986     All      2.1174903183511288e-05     6.3938904304633585e-06    8.675453155353516e-05     -9.4320584046046e-07      
Lambda        AB|SDSS|SDSS_r            5558.0969762460745    All      -0.00019139021596263042    0.0006628452943086533     3.0439427419405903e-05    0.0002796109810513819     
Lambda        AB|SDSS|SDSS_u            3234.7551640098714    All      -5.412991744762561e-07     2.1085872792249374e-06    1.4359593536429048e-05    1.5039579049485256e-06    
MWEBV         All|All|All               All                   All      -0.6169844246934035        -3.6404254548099146       0.036772747043256615      -0.9831932129549137       
Redshift      All|All|All               All                   All      0.14434245233395337        -3.783640316638781        -15.386296495161389       -1.9660929605243793       
