#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_r            4973.411814639774     All      0.928965558782656          0.4749842468005028         1.0060932765512591         -0.10297932674092208       
Zeropoint     AB|SDSS|SDSS_i            6031.131089106534     All      1.0106238152837843         0.0672469575622614         -1.1161588022867541        -0.3570979197507519        
Zeropoint     AB|SDSS|SDSS_g            3806.0823394438275    All      -1.0534794823128588        0.4520194147445977         -0.22504267141081336       0.48034789937269545        
Zeropoint     AB|SDSS|SDSS_z            7170.51211798612      All      0.11181504186427771        0.003934972298580419       0.3324715300713682         -0.02030341040583708       
Check         All|All|All               All                   All      0.9979249336178594         0.9981855914059423         -0.0026366670749401466     -3.275752481560201e-05     
Lambda        AB|SDSS|SDSS_r            4973.411814639774     All      -0.00019753944547702275    -9.917738033608006e-05     -0.0011443407720303723     -1.9026912256422903e-05    
Lambda        AB|SDSS|SDSS_i            6031.131089106534     All      -0.00018389308282606078    -2.1441603413777475e-05    -2.0129469542518148e-05    5.2017505565133005e-05     
Lambda        AB|SDSS|SDSS_g            3806.0823394438275    All      -0.0013859503349391137     0.0004763892508207223      -0.0012884153583412154     0.0005491292122694103      
Lambda        AB|SDSS|SDSS_z            7170.51211798612      All      -4.7194242657879856e-05    -9.730022690363323e-07     -0.00014334124755639374    8.659117092383578e-06      
MWEBV         All|All|All               All                   All      -0.56008199307922          -3.0606906645939347        0.08817424999559564        -0.8105957000864229        
Redshift      All|All|All               All                   All      5.793612658685328          0.751758186524043          10.46877252576902          -1.1751246371761983        
