#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_r            4973.411814639774     All      0.8840445213925812         0.4603435215077667        0.9484904816745074         -0.09568658107342244      
Zeropoint     AB|SDSS|SDSS_i            6031.131089106534     All      1.0884624708594441         0.06187687264578301       -0.8869270488630572        -0.3739721836833551       
Zeropoint     AB|SDSS|SDSS_g            3806.0823394438275    All      -1.112087442037032         0.47372697100094285       -0.4133706139570662        0.4981050941126569        
Zeropoint     AB|SDSS|SDSS_z            7170.51211798612      All      0.13706760078462712        0.002675680396002633      0.35272044208322356        -0.028035576489649144     
Check         All|All|All               All                   All      0.9974871509996207         0.9986230455504952        0.0009132609376076295      0.00041075286623023025    
Lambda        AB|SDSS|SDSS_r            4973.411814639774     All      -0.00010306970250252299    -8.887160862428286e-05    -0.0009248398691656017     -3.664656944542257e-05    
Lambda        AB|SDSS|SDSS_i            6031.131089106534     All      -0.00015497107324928544    -2.317343458096331e-05    -0.00012950769749749623    3.7151493195819265e-05    
Lambda        AB|SDSS|SDSS_g            3806.0823394438275    All      -0.0015444482745038002     0.0005392653669546662     -0.0014233008088486907     0.0006152187070508782     
Lambda        AB|SDSS|SDSS_z            7170.51211798612      All      -4.665225676126667e-05     -1.600827036225805e-06    -0.0001478707428847714     8.07594070026944e-06      
MWEBV         All|All|All               All                   All      -0.5514447358697234        -3.063845327841186        0.09828282472772489        -0.8139856172585551       
Redshift      All|All|All               All                   All      5.465665656772238          0.5424347584014555        9.292873224891116          -1.1889600216810097       
