#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb            Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                    
Zeropoint     AB|MEGACAMPSF|z           5112.7690415171     All      0.16969005222724373       0.03588787746036104        -0.4777342349399305        -0.06490285503376325     
Zeropoint     AB|MEGACAMPSF|r           3628.70933008046    All      -2.468227775989276        0.06372000842880254        0.08761261906564677        0.8286484407915545       
Zeropoint     AB|MEGACAMPSF|i           4436.65786952573    All      3.293971769392204         0.9008145118949429         0.3866108975229432         -0.7622773825852177      
Check         All|All|All               All                 All      0.9954340456301719        1.0004223977841065         -0.003510718351340536      0.0014682031725735678    
Lambda        AB|MEGACAMPSF|z           5112.7690415171     All      -3.4785978397871e-05      -6.490399123610885e-06     -0.00019424142891243917    5.486982127869532e-07    
Lambda        AB|MEGACAMPSF|r           3628.70933008046    All      -0.00360098803802132      -0.00011288843314041335    -0.002811467940490122      0.0010107258947992703    
Lambda        AB|MEGACAMPSF|i           4436.65786952573    All      -0.0008071008457082837    -0.00037801934182169145    -0.0023548071615281533     3.468173379714502e-05    
MWEBV         All|All|All               All                 All      -0.3175314898614192       -1.9102969035659           0.0041994897834962686      -0.5186286917277335      
Redshift      All|All|All               All                 All      10.938910778750035        2.0166263919717764         5.439952637928558          -2.663521457779168       
