#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb            Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|MEGACAMPSF|z           5112.7690415171     All      0.18009817549927806       0.028267277145310743      -0.4253657168562715       -0.06843843699129529       
Zeropoint     AB|MEGACAMPSF|r           3628.70933008046    All      -2.4944238623700885       0.06744521867911857       -0.5197360813206925       0.8112916084391767         
Zeropoint     AB|MEGACAMPSF|i           4436.65786952573    All      3.3124432948886007        0.9047419745373375        0.9436989461076604        -0.7421545813467473        
Check         All|All|All               All                 All      0.9981176080177905        1.0004544703617668        -0.0014028520693036839    0.0006985901011341555      
Lambda        AB|MEGACAMPSF|z           5112.7690415171     All      4.795004136845035e-05     4.565254196606162e-06     -0.0001037527911315136    -1.8761863047837642e-05    
Lambda        AB|MEGACAMPSF|r           3628.70933008046    All      -0.004334327493211653     2.7493665256268048e-05    -0.002310488954159958     0.0013176821406345298      
Lambda        AB|MEGACAMPSF|i           4436.65786952573    All      -0.0006242569056636217    -0.0002944086789872622    -0.002914880560021137     -2.2635312718741513e-05    
MWEBV         All|All|All               All                 All      -0.286437918880738        -1.9100891425829047       -0.03427879064972706      -0.5304063250883321        
Redshift      All|All|All               All                 All      12.134384452515043        1.673997632769364         5.885997876011255         -3.1446270718997194        
