#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|MEGACAMPSF|z           5024.953730847332     All      1.3192291503712876        0.1955733103729429         -0.08546875060225709      -0.3698257520621674        
Zeropoint     AB|MEGACAMPSF|r           3565.3836543252582    All      -1.8459144519527348       0.044467340478604456       -0.7043245315556723       0.5843287725108184         
Zeropoint     AB|MEGACAMPSF|i           4358.57673353276      All      1.5043141426221371        0.7500249419592819         0.7042645385157031        -0.2142687162495778        
Check         All|All|All               All                   All      0.9776288410406896        0.9900655928108293         -0.08552874364222629      0.0002343041990731931      
Lambda        AB|MEGACAMPSF|z           5024.953730847332     All      0.00015857556512967195    3.1796571953320004e-05     0.00011802472220738724    -3.602918769835175e-05     
Lambda        AB|MEGACAMPSF|r           3565.3836543252582    All      -0.002749404047122248     -1.2933292298664905e-05    -0.002095586607766238     0.0007978421464363545      
Lambda        AB|MEGACAMPSF|i           4358.57673353276      All      -0.0004498317878351459    -0.0002102984525761391     -0.002386810189668424     -2.8488488835689676e-05    
MWEBV         All|All|All               All                   All      -0.2648769141428895       -1.853581479677402         -0.055619143772325796     -0.519975370759388         
Redshift      All|All|All               All                   All      10.08543961143365         1.5598334104495848         3.618640197656317         -2.6155871315651953        
