#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_B    4346.375850603939    All      -1.08552929137007          0.7067104631929055         -0.2371223006245149       0.573209771784175         
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_V    5329.43976968352     All      0.44032014683484627        0.4512650590519307         0.14213650880894324       0.009908017564791427      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_R    6322.459743400447    All      1.2275886976926917         -0.07605821442311367       -0.21566852352721266      -0.43426498366092303      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_I    7837.492113562337    All      0.41671357161769956        -0.08521053947347923       0.31386581511283485       -0.14948680600023467      
Check         All|All|All                       All                  All      0.9990931247751675         0.9967067683482433         0.00321149977005053       -0.0006340003121912963    
Lambda        Linear_AB11_off|LOSS|LOSS_K2_B    4346.375850603939    All      -0.0005287541483607853     0.00011597216677478122     -0.0012490829653149477    0.00015426773579394748    
Lambda        Linear_AB11_off|LOSS|LOSS_K2_V    5329.43976968352     All      7.913599269671252e-05      -1.5211730688997081e-05    -0.0009072051621601686    -7.12165571992354e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K2_R    6322.459743400447    All      -0.00027654963309592986    -9.145365709193747e-08     -4.232022494827045e-05    8.816296697749996e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K2_I    7837.492113562337    All      -5.557898210912368e-05     1.3616544273938759e-05     -3.530360659831588e-05    2.0963821589281162e-05    
MWEBV         All|All|All                       All                  All      -0.8117911053378712        -4.036677033763869         0.09019877656097908       -1.0464262853541184       
Redshift      All|All|All                       All                  All      4.355589903810567          0.06507733048284337        3.8037579440923563        -1.2278168517873194       
