#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_B    4346.375850603939    All      -1.089003828449932        0.7391755778826337        -0.1113852856178803       0.5905275642354776        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_V    5329.43976968352     All      0.4167223111585987        0.526599723567589         0.28376236484955575       0.04845369915093792       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_R    6322.459743400447    All      1.2342866653566267        -0.1640518326650131       -0.5916396686522527       -0.4818870138850158       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_I    7837.492113562337    All      0.4362251242570709        -0.10353967207343828      0.42111133710174603       -0.15702688701875245      
Check         All|All|All                       All                  All      0.9982302723223645        0.9981837967117713        0.001848747681168772      6.736248264721523e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K2_B    4346.375850603939    All      -0.0005973344350576665    0.00024322364502572653    -0.0006982095580753541    0.0002426395344062116     
Lambda        Linear_AB11_off|LOSS|LOSS_K2_V    5329.43976968352     All      5.3264767634192685e-05    9.08104112828144e-05      -0.0010343144480753394    -3.392685203182404e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K2_R    6322.459743400447    All      -0.0003267964815661087    -2.46972866770914e-06     -0.0005280928691015202    8.207753414706556e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K2_I    7837.492113562337    All      -1.686597499449691e-05    4.85822035186681e-06      5.425209186511739e-05     9.49730681820352e-06      
MWEBV         All|All|All                       All                  All      -0.8151209670070356       -4.037959737539332        0.09550481585793504       -1.0455226745145794       
Redshift      All|All|All                       All                  All      4.035388111575872         -0.6963547742746989       0.08844042901763617       -1.537337637483764        
