#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g              4684.86468482184      All      -0.3082045286635957       0.29105048782023246       -0.07414604433147068       0.1918882763551846         
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7440.4766794084535    All      0.195076330412601         -0.06459810433971924      0.062490836985742274       -0.08179582738933992       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u              3504.72567881777      All      -0.19742909638303197      0.09983446786971939       -0.03251948917729887       0.09537732711252815        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r              6064.337954091931     All      0.6870493953595783        -0.0072280417376724415    -0.3312424240892527        -0.2409308303574848        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844      5238.837482479092     All      0.2826922733382742        0.41365603336505075       -0.15209903194660446       0.0358717239902579         
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5299.897057896498     All      0.18506949136083112       0.04317059734484374       0.30096643134632356        -0.03279038857379188       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6107.146960732161     All      0.48466891215946073       -0.04789489882490727      0.3442881652459919         -0.1581095545099893        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i              7414.581734440866     All      0.2429556665295122        -0.05811341068824305      -0.006574999866940082      -0.09836151537443846       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4285.536081346754     All      -0.13697944988213925      0.014511347508694428      0.0011811616912234767      0.04939824643079196        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B              4288.573391805474     All      -0.44011868903292817      0.31373649884560706       -0.11444069755723368       0.24044847306618705        
Check         All|All|All                                All                   All      0.9947803051985623        0.9981249771636058        -0.0020960916995192563     0.0009959307499053105      
Lambda        Linear_AB11_off|SWOPE|SWOPE_g              4684.86468482184      All      -0.0001981032848085829    0.00010233043733166493    -0.000569489820413493      7.244743216403885e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7440.4766794084535    All      -5.839830152904052e-05    6.470341393885556e-06     -0.0001424362964264083     1.4773573391696463e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_u              3504.72567881777      All      -0.0004904247829008595    0.0002203230765591678     -0.00020614929293470897    0.00022231446460194533     
Lambda        Linear_AB11_off|SWOPE|SWOPE_r              6064.337954091931     All      -9.662234792218478e-05    1.3069510903573889e-05    -0.0005450866693552072     1.1405532613711817e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844      5238.837482479092     All      2.09172634809311e-05      0.00019470821082323445    -0.0011652174778990147     4.6111247134001044e-06     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5299.897057896498     All      4.992598761399068e-05     3.6048790693404324e-05    -7.383629560384284e-05     -7.815234338212647e-06     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6107.146960732161     All      -0.0001328723818292578    1.3485967640249386e-05    -0.0002050366473549494     3.85238855967033e-05       
Lambda        Linear_AB11_off|SWOPE|SWOPE_i              7414.581734440866     All      -4.716590650795757e-06    -6.762690655626164e-06    -0.0002441602457542368     -1.1562232466827638e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4285.536081346754     All      -8.618833582006586e-05    9.088683117188604e-06     -1.2823960437439822e-05    3.046258513267922e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_B              4288.573391805474     All      -0.000318152250276371     0.00012769834748986545    -0.0004712012965232134     0.0001242006580268913      
MWEBV         All|All|All                                All                   All      -0.9633883011983078       -3.924902252617102        -0.014286234983078662      -0.9653000539451062        
Redshift      All|All|All                                All                   All      9.151173086522899         -2.1549529866522477       14.187404971339518         -3.049658499055907         
