#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                    
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    6074.875643238393    All      3.1310695073291326         -0.7291125228325868        0.5463357560428039        -1.2330078278774774      
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    5072.960857894547    All      -2.133209199240335         1.733162570026181          -0.5419811891332782       1.2352183538616472       
Check         All|All|All                            All                  All      0.997860308088798          1.0040500471935943         0.004354566909525737      0.00221052598416982      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    6074.875643238393    All      -0.00041775787808649007    1.4825058111736688e-05     -0.0007301028890718254    0.0001083253551776504    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    5072.960857894547    All      -0.00048096482015414193    -1.7562601331064857e-05    -0.001798422440443017     7.069001448937581e-05    
MWEBV         All|All|All                            All                  All      -0.47551347242341135       -2.871357784303008         -0.016990790926685317     -0.7811635342790074      
Redshift      All|All|All                            All                  All      6.750427288900392          -0.8419755013274965        -1.2054226493491804       -2.5268878479442107      
