#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb              Phase    dmu/dP                   dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    3904.3362288484996    All      -2.7527622735789072      0.3350510647541327         0.21254882675150188        1.015287468272963         
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    4675.446494473629     All      3.7440145827249953       0.6657595063092714         -0.21850782990029405       -1.0124399508508353       
Check         All|All|All                            All                   All      0.9912523091460876       1.000810571063404          -0.0059590031487921635     0.0028475174221276323     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    3904.3362288484996    All      -0.001407110153324434    4.415041540295865e-05      -0.0014003971986519962     0.00041023001710490856    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    4675.446494473629     All      -0.000789132645877495    -0.00014723292520942173    -0.00012301790203268702    0.00020359813292820692    
MWEBV         All|All|All                            All                   All      -0.14569504308628467     -1.9356397680120097        0.03265684538547031        -0.5815865593185393       
Redshift      All|All|All                            All                   All      6.457291513157454        0.9738947440563805         -2.0033994570797686        -1.875525242580131        
