#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                    
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    3904.3362288484996    All      -2.992018545771362         0.3087565392295488        -0.47200673053031744      1.0541075449245139       
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    4675.446494473629     All      3.98130695377605           0.69332592176643          0.47654495450613826       -1.0497375808606773      
Check         All|All|All                            All                   All      0.989288408004688          1.0020824609959789        0.004538223975820821      0.004369964063836607     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    3904.3362288484996    All      -0.002340766206346538      0.00011393836056883714    -0.0019133360667377061    0.0007141946338020552    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    4675.446494473629     All      -0.00030166804703992756    -7.230386607476236e-05    -0.0004110386368063252    5.636869306928294e-05    
MWEBV         All|All|All                            All                   All      -0.11668760333397854       -1.936856902010753        0.04849986343774765       -0.590724696216874       
Redshift      All|All|All                            All                   All      6.450165349044923          0.3111245782728034        0.926249453347942         -1.9583532884897237      
