#Date  :
#Flux  :
#Fluxerr  :
#ZP  :
#end  :
@INSTRUMENT  SDSS
@BAND  SDSS_g
@MAGSYS  AB
53974.325557  55.75  0.8357  23.897
53989.329701  35.28  1.682  23.897
53997.425325  12.8  0.7268  23.897
54000.30527  10.83  0.6743  23.897
54006.251901  6.356  0.6634  23.897
54007.355188  6.304  0.553  23.897
54009.279196  5.735  0.634  23.897
54011.343718  5.532  0.9962  23.897
54019.29371  5.267  1.028  23.897
54021.347311  4.333  0.7413  23.897
54025.342404  2.776  0.664  23.897
54029.272312  2.761  0.6369  23.897
54031.259294  3.156  0.5082  23.897
54036.263838  4.426  0.721  23.897
54039.261586  3.097  0.999  23.897
54048.256017  2.625  0.9936  23.897
54052.259579  0.6952  0.9074  23.897
54054.278124  2.28  0.9747  23.897
54055.255776  2.81  0.5828  23.897
54058.253892  2.093  0.6463  23.897
54060.275396  1.958  0.6091  23.897
54063.243738  3.222  0.5397  23.897
