#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|DECam|DECam_g          3040.7187075367146    All      -0.2691017092875674        0.09641923342957881       0.539618923427221         0.14314291049728844       
Zeropoint     AB|DECam|DECam_r          4041.341054723782     All      -0.9346951348239382        0.29986042728964435       -2.2662258062484115       0.3010041129177688        
Zeropoint     AB|DECam|DECam_z          5753.475146042598     All      1.0913819051858817         0.15717359257862995       0.17882226703909676       -0.29632236547977053      
Zeropoint     AB|DECam|DECam_i          4909.724608296722     All      1.1029476865110643         0.4465483482828603        1.5677899455395883        -0.14384759468706207      
Check         All|All|All               All                   All      0.9905327475854405         1.0000016015807134        0.020005329757494472      0.003977063248224638      
Lambda        AB|DECam|DECam_g          3040.7187075367146    All      -0.0008197817886484997     0.0002763203562414937     0.0014480184368659552     0.00042165494160932554    
Lambda        AB|DECam|DECam_r          4041.341054723782     All      -0.0005882386610692263     0.0001538067165841198     -0.0015732065416772878    0.0001715036095907354     
Lambda        AB|DECam|DECam_z          5753.475146042598     All      -0.0003544116701786799     -4.790357284543419e-05    6.329948885014753e-05     0.00010266453658166645    
Lambda        AB|DECam|DECam_i          4909.724608296722     All      -0.00024298834309046736    -8.138019788067055e-05    -0.0010823198036535228    4.342127722887352e-06     
MWEBV         All|All|All               All                   All      -0.33267706066092173       -2.0812788846351182       0.5443802874083198        -0.5452839493808653       
Redshift      All|All|All               All                   All      4.028096168039992          0.15085072962364166       0.6577294256719393        -1.2335949534525392       
