#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|DECam|DECam_g          3040.7187075367146    All      -0.4262067605860164       0.08059836678793175        0.1537505188756505         0.17194428288596492       
Zeropoint     AB|DECam|DECam_r          4041.341054723782     All      -0.6048580902788102       0.25885921618922225        -2.178655960637821         0.18411773285363225       
Zeropoint     AB|DECam|DECam_z          5753.475146042598     All      0.9327968622952914        0.21268499542852481        0.7138565389218199         -0.20270798730764733      
Zeropoint     AB|DECam|DECam_i          4909.724608296722     All      1.0922029260399504        0.44647145989387127        1.3232135170889503         -0.1512870404901931       
Check         All|All|All               All                   All      0.9939349374704152        0.9986140382995501         0.012164614248599825       0.0020669879417567483     
Lambda        AB|DECam|DECam_g          3040.7187075367146    All      -0.0009912185377553369    0.0001279374656454102      -0.00031659640780001494    0.0003504176858410896     
Lambda        AB|DECam|DECam_r          4041.341054723782     All      -0.0004352802115634226    0.00013830003442503536     -0.0016878184735886039     0.00011151436974163492    
Lambda        AB|DECam|DECam_z          5753.475146042598     All      -0.0004702469794230183    -0.00010375452829121223    -0.00018539661955522375    0.00011110524894226073    
Lambda        AB|DECam|DECam_i          4909.724608296722     All      -0.0003255447660460662    -0.00010755128513198187    -0.0009831108978798425     2.7135924398874887e-05    
MWEBV         All|All|All               All                   All      -0.4491277942236205       -2.0483433983139676        0.765407600371848          -0.4867605090682098       
Redshift      All|All|All               All                   All      4.027556345136616         0.6134523073558995         3.146658785948242          -0.9716650762559633       
