#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_r                3956.470505293449     All      -0.8862565592363699        0.273455089026875          -0.8740585006309933        0.33875102074162833       
Zeropoint     AB|PS|PS_z                5507.3412332822445    All      1.082962891268205          0.11447838455129755        -0.1341198208617387        -0.3214524176465686       
Zeropoint     AB|PS|PS_g                3115.497640714214     All      -0.3615473666443825        0.07265257451809504        0.1813370851116757         0.14952544684781013       
Zeropoint     AB|PS|PS_i                4792.142661240496     All      1.1538648677318903         0.5386576432831802         0.8381978782832971         -0.1629883111152764       
Check         All|All|All               All                   All      0.9890238331193428         0.9992436913794478         0.011356641902240727       0.0038357388275934434     
Lambda        AB|PS|PS_r                3956.470505293449     All      -0.0007203758194915251     0.00015412973541943325     -0.0011660501627498558     0.0002328197663238528     
Lambda        AB|PS|PS_z                5507.3412332822445    All      -0.00011750091586935435    -2.2046821864776286e-05    -0.00015934280427820096    2.3981801243799522e-05    
Lambda        AB|PS|PS_g                3115.497640714214     All      -0.0009889597631631615     0.0001973112465117646      0.0004498704263193566      0.00040648314595461826    
Lambda        AB|PS|PS_i                4792.142661240496     All      -0.0002830779190782097     -0.00010786711598232519    -0.0008674576960329401     1.836126994767809e-05     
MWEBV         All|All|All               All                   All      -0.3827780628517887        -2.1505563623236412        0.1593657504682909         -0.568711788813582        
Redshift      All|All|All               All                   All      1.2171388420107596         -0.6758449974368474        -2.1773749619209135        -0.7137733580556263       
