#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4191.094855990215    All      -0.7944698012844108        0.3936896707636528        -0.17316431329836487       0.37929510134403505       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5252.215222653048    All      0.7784473891645637         0.1592942809598874        0.5644577857511537         -0.1764893783572535       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7218.405691400305    All      0.15767226920816385        -0.0026560723913604534    0.3879849252830334         -0.03491023023965757      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    5948.533800752202    All      1.5496192402754454         -0.07378434016027668      -0.7776306704750275        -0.5634980398341372       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4512.551501509747    All      -0.6925702873350135        0.5215630019577588        0.00422129293782465        0.39567153303754216       
Check         All|All|All                      All                  All      0.9986988100287489         0.9981065411296619        0.0058690201986193015      6.898595052895473e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4191.094855990215    All      -0.00045309534136216405    0.00011978469340202359    -0.0011156810953840556     0.00013681815136696158    
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5252.215222653048    All      0.0002748261249857486      4.1204732274601816e-05    0.0002015327351095121      -6.710469315998164e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7218.405691400305    All      -6.16562523608162e-05      1.0367877393032211e-06    -0.00015234168377011985    1.3622876033750164e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    5948.533800752202    All      -0.0001670148740623823     1.8799860489754416e-05    -0.00013131138259562207    5.466614825294349e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4512.551501509747    All      -7.750259802794313e-05     1.160351184575642e-06     -0.00046012014922262493    5.090061488279854e-06     
MWEBV         All|All|All                      All                  All      -0.848043038860681         -3.8821081682758773       0.07179549599270632        -0.9850909271870344       
Redshift      All|All|All                      All                  All      4.805367741156677          -0.8396449288887275       -3.2787797744843896        -1.985083224478751        
