#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4191.094855990215    All      -0.7329869670731517        0.39798012270830796       -0.01029291928624776       0.3679338631398188        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5252.215222653048    All      0.6788096281528533         0.16856348399683085       0.5418458753033317         -0.14202386294445146      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7218.405691400305    All      0.19603384834399762        -0.0026329350302667365    0.5444675463574356         -0.040415221343093055     
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    5948.533800752202    All      1.6211564001625556         -0.10691477043751618      -0.7580563384505579        -0.5967182048755043       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4512.551501509747    All      -0.7645743206798898        0.5412034615896566        -0.31132889767643834       0.411441603676832         
Check         All|All|All                      All                  All      0.998438588906365          0.9981993628270125        0.006635266247523308       0.00021817765360199193    
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4191.094855990215    All      -0.0006058510123901428     0.00021239074907289807    -0.0010900795360166853     0.0002178830179246759     
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5252.215222653048    All      0.000368568277117037       7.244016024746039e-05     0.00028438705164523414     -8.376778201764807e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7218.405691400305    All      -6.816979116001454e-05     9.2967442057127e-07       -0.000186838236448241      1.4170236868787227e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    5948.533800752202    All      6.893752078457067e-05      1.4255912495624354e-05    -0.00012424973567021737    -2.335629383575443e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4512.551501509747    All      -0.00023787193700372658    0.00011996719276349561    -0.0005431441573699113     9.232194795034019e-05     
MWEBV         All|All|All                      All                  All      -0.8388611051836956        -3.885568974362208        0.09341761925920067        -0.9882441874071668       
Redshift      All|All|All                      All                  All      4.2836618252297365         -1.9678949799602385       -4.460099286608838         -2.2353714682265102       
