#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|CNIa02|SDSS_i                      7450.36868023373      All      0.3155308108838445         -0.046822226196496786      0.06429494858335438        -0.11516111697863901       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5448.873547131228     All      1.140015752886509          0.1082211344463957         -0.02428218231909085       -0.3371730545334947        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4355.431178037968     All      -0.8722323062165954        0.45122102401258246        -0.2259976902346139        0.42100705103160774        
Zeropoint     AB|CNIa02|SDSS_g                      4701.7244754306685    All      -0.5739396505412228        0.5823648696257067         0.11641384448251024        0.381841438716949          
Zeropoint     AB|CNIa02|SDSS_r                      6143.748340112071     All      0.9904985126150216         -0.0978794929243243        0.07079398861056241        -0.3513613124103254        
Check         All|All|All                           All                   All      0.9998731196275572         0.9971053089638637         0.001222909122722271       -0.0008469941739024378     
Lambda        AB|CNIa02|SDSS_i                      7450.36868023373      All      -1.0779171968654777e-05    -4.380918719657786e-06     -4.435969680646189e-05     1.0455204772368488e-07     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5448.873547131228     All      0.00011903959754802875     -4.1830367240436667e-05    -0.0008118821823231585     -8.863121295333491e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4355.431178037968     All      -0.0004926159983163571     0.0001124359603451581      -0.0007963101888197981     0.0001615496621476231      
Lambda        AB|CNIa02|SDSS_g                      4701.7244754306685    All      -6.545975940448184e-05     -9.552429517089443e-05     -0.0008047046279813725     -4.5703280065101176e-05    
Lambda        AB|CNIa02|SDSS_r                      6143.748340112071     All      6.268519031401643e-05      -1.4218877782400167e-05    -4.4028183903898816e-05    -2.7014960681189167e-05    
MWEBV         All|All|All                           All                   All      -0.895769588711198         -4.081216895451867         0.02284174557003471        -1.036585663712565         
Redshift      All|All|All                           All                   All      4.190165854977049          0.4408945718044954         4.646330275851307          -1.0139166239025812        
