#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|CNIa02|SDSS_i                      7450.36868023373      All      0.36823335700058757        -0.05749954902425358       0.06193176513435129        -0.13591148345323617       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5448.873547131228     All      0.9636521362781145         0.138476110202701          0.09277778031666545        -0.26464673295505875       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4355.431178037968     All      -0.821295112560035         0.45278929563754566        -0.15898956634105704       0.40791623374881303        
Zeropoint     AB|CNIa02|SDSS_g                      4701.7244754306685    All      -0.6131901264567249        0.5673720830653206         -0.08468608273805893       0.38076880006088976        
Zeropoint     AB|CNIa02|SDSS_r                      6143.748340112071     All      1.1019865820812942         -0.1038903287242654        0.09003631349546609        -0.388775874871883         
Check         All|All|All                           All                   All      0.9993868363432362         0.9972476111570483         0.0010702098673668475      -0.0006490574704751118     
Lambda        AB|CNIa02|SDSS_i                      7450.36868023373      All      -2.504334994691085e-05     -4.487859831592457e-06     -8.35856224423501e-05      2.965556951373429e-06      
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5448.873547131228     All      0.00010223876712112687     -6.830382319242743e-05     -0.0009330283223965433     -9.718810113416312e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4355.431178037968     All      -0.00033392674915545513    7.75836151019148e-05       -0.0006413205399706317     0.00010542327370729428     
Lambda        AB|CNIa02|SDSS_g                      4701.7244754306685    All      -0.0002053088768764888     -0.00013200131676278877    -0.001106863354320766      -2.5515543787701932e-05    
Lambda        AB|CNIa02|SDSS_r                      6143.748340112071     All      -6.394095508512895e-05     -1.319529753379853e-05     -0.00019726999387394812    7.726276348729487e-06      
MWEBV         All|All|All                           All                   All      -0.9076408276335259        -4.078488044982276         0.014996554397019564       -1.032180029119335         
Redshift      All|All|All                           All                   All      4.516350153047335          0.8267257150693652         4.608616684246601          -0.9961706684808422        
