#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                   dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|MEGACAMPSF|z           4591.92519219189      All      0.7660559717802577       0.17717476802960874       -0.06171468654444512       -0.1945720246929114        
Zeropoint     AB|MEGACAMPSF|r           3257.364709394972     All      -1.2106412260550614      -0.08427927904541832      0.5579956027031541         0.39179392331595286        
Zeropoint     AB|MEGACAMPSF|i           3982.2417413618605    All      1.441991260201645        0.906157399418106         -0.4560651117151815        -0.19489080817215593       
Check         All|All|All               All                   All      0.9974060059268413       0.9990528884022964        0.04021580444352746        0.0023310904508855312      
Lambda        AB|MEGACAMPSF|z           4591.92519219189      All      0.0002873829881405802    5.896380269786857e-05     9.852111289349197e-05      -7.000709868934958e-05     
Lambda        AB|MEGACAMPSF|r           3257.364709394972     All      -0.003591255901288141    -0.0003270397086029789    -0.00031499167697914926    0.0010492059716413742      
Lambda        AB|MEGACAMPSF|i           3982.2417413618605    All      0.0008638820983623446    0.0006676016788544312     -0.0008197240712797721     -0.00010051551051245673    
MWEBV         All|All|All               All                   All      -0.5460679636496812      -1.6589359796324032       0.034376193611013184       -0.36096367343909225       
Redshift      All|All|All               All                   All      6.127989973493355        0.6638863479999202        4.958911117527243          -1.5585448867727045        
